State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,"4,447,100","4,447,100","4,447,100","4,447,100","4,447,100","4,447,100","4,447,100","4,447,100","4,447,100","4,447,100","4,779,736","4,779,736","4,779,736","4,779,736","4,779,736","4,779,736","4,779,736","4,779,736","4,779,736","4,779,736","5,024,279","5,024,279","5,024,279"
Alaska,"626,932","626,932","626,932","626,932","626,932","626,932","626,932","626,932","626,932","626,932","710,231","710,231","710,231","710,231","710,231","710,231","710,231","710,231","710,231","710,231","733,391","733,391","733,391"
Arizona,"5,130,632","5,130,632","5,130,632","5,130,632","5,130,632","5,130,632","5,130,632","5,130,632","5,130,632","5,130,632","6,392,017","6,392,017","6,392,017","6,392,017","6,392,017","6,392,017","6,392,017","6,392,017","6,392,017","6,392,017","7,151,502","7,151,502","7,151,502"
Arkansas,"2,673,400","2,673,400","2,673,400","2,673,400","2,673,400","2,673,400","2,673,400","2,673,400","2,673,400","2,673,400","2,915,918","2,915,918","2,915,918","2,915,918","2,915,918","2,915,918","2,915,918","2,915,918","2,915,918","2,915,918","3,011,524","3,011,524","3,011,524"
California,"33,871,648","33,871,648","33,871,648","33,871,648","33,871,648","33,871,648","33,871,648","33,871,648","33,871,648","33,871,648","37,253,956","37,253,956","37,253,956","37,253,956","37,253,956","37,253,956","37,253,956","37,253,956","37,253,956","37,253,956","39,538,223","39,538,223","39,538,223"
Colorado,"4,301,261","4,301,261","4,301,261","4,301,261","4,301,261","4,301,261","4,301,261","4,301,261","4,301,261","4,301,261","5,029,196","5,029,196","5,029,196","5,029,196","5,029,196","5,029,196","5,029,196","5,029,196","5,029,196","5,029,196","5,773,714","5,773,714","5,773,714"
Connecticut,"3,405,565","3,405,565","3,405,565","3,405,565","3,405,565","3,405,565","3,405,565","3,405,565","3,405,565","3,405,565","3,574,097","3,574,097","3,574,097","3,574,097","3,574,097","3,574,097","3,574,097","3,574,097","3,574,097","3,574,097","3,605,944","3,605,944","3,605,944"
Delaware,"783,600","783,600","783,600","783,600","783,600","783,600","783,600","783,600","783,600","783,600","897,934","897,934","897,934","897,934","897,934","897,934","897,934","897,934","897,934","897,934","989,948","989,948","989,948"
District of Columbia,"572,059","572,059","572,059","572,059","572,059","572,059","572,059","572,059","572,059","572,059","601,723","601,723","601,723","601,723","601,723","601,723","601,723","601,723","601,723","601,723","689,545","689,545","689,545"
Florida,"15,982,378","15,982,378","15,982,378","15,982,378","15,982,378","15,982,378","15,982,378","15,982,378","15,982,378","15,982,378","18,801,310","18,801,310","18,801,310","18,801,310","18,801,310","18,801,310","18,801,310","18,801,310","18,801,310","18,801,310","21,538,187","21,538,187","21,538,187"
Georgia,"8,186,453","8,186,453","8,186,453","8,186,453","8,186,453","8,186,453","8,186,453","8,186,453","8,186,453","8,186,453","9,687,653","9,687,653","9,687,653","9,687,653","9,687,653","9,687,653","9,687,653","9,687,653","9,687,653","9,687,653","10,711,908","10,711,908","10,711,908"
Hawaii,"1,211,537","1,211,537","1,211,537","1,211,537","1,211,537","1,211,537","1,211,537","1,211,537","1,211,537","1,211,537","1,360,301","1,360,301","1,360,301","1,360,301","1,360,301","1,360,301","1,360,301","1,360,301","1,360,301","1,360,301","1,455,271","1,455,271","1,455,271"
Idaho,"1,293,953","1,293,953","1,293,953","1,293,953","1,293,953","1,293,953","1,293,953","1,293,953","1,293,953","1,293,953","1,567,582","1,567,582","1,567,582","1,567,582","1,567,582","1,567,582","1,567,582","1,567,582","1,567,582","1,567,582","1,839,106","1,839,106","1,839,106"
