GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1
 "46000","South Dakota",4,SQGDP9,1,"...","All industry total ","Millions of chained 2012 dollars",35847.9,35651.3,35865.2,36004.5,36296.9,36556.0,36410.9,36139.5,37813.6,37968.4,37503.8,37737.9,39922.4,39450.5,39046.7,37903.4,39425.1,39862.4,40486.8,40174.8,39594.2,39775.3,40870.3,41238.6,42049.0,42614.6,42789.2,44745.2,44728.7,44563.0,42261.3,44053.0,43989.2,44147.5,44218.3,44234.5,45215.6,45290.3,44724.4,44155.6,45028.8,45216.7,45585.1,46827.5,45401.1,45745.2,46617.9,46539.7,46857.7,46103.9,45411.6,44730.1,46817.1,46218.0,46235.2,45930.8,46365.7,46273.0,46850.7,47112.8,47332.1,45063.5,48277.3,48936.6,49114.3,49673.7,49523.8,49920.1,50132.2,49921.7,49864.2,49318.6,50520.7
 "46000","South Dakota",4,SQGDP9,2,"..."," Private industries ","Millions of chained 2012 dollars",31064.4,30917.2,31184.5,31241.3,31562.9,31784.4,31648.6,31392.2,33121.2,33323.4,32826.4,33058.2,35204.9,34715.9,34279.0,33154.1,34666.6,35039.8,35631.9,35324.6,34554.5,34752.6,35809.5,36244.8,36948.6,37589.6,37898.0,39797.4,39684.6,39709.8,37466.9,39367.9,39399.4,39601.2,39690.3,39713.8,40635.6,40663.4,40096.9,39544.6,40417.2,40577.8,40945.3,42247.8,40680.7,41052.9,41867.9,41689.8,41978.1,41160.7,40448.3,39700.6,41788.0,41107.8,41086.1,40819.9,41246.3,41091.6,41666.8,41882.2,42081.8,39974.5,43133.1,43710.3,44010.0,44575.4,44361.2,44820.4,45027.9,44792.1,44733.0,44181.4,45341.2
 "46000","South Dakota",4,SQGDP9,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of chained 2012 dollars",2902.7,2920.8,2989.2,3123.7,2238.5,2674.0,2472.5,2116.9,3716.5,3272.8,3001.0,3222.5,4115.1,3977.4,4002.6,4019.7,4474.3,4508.8,4807.5,4922.4,3548.4,3914.7,4103.1,3914.0,5161.2,4732.1,4792.2,5439.0,4862.2,4692.0,2780.5,4704.5,5239.8,5264.2,5085.6,4952.1,4575.2,4784.4,4399.1,4475.6,4282.3,4364.2,4841.8,5501.4,4571.9,4928.4,5032.3,4778.0,5430.0,4979.7,4138.0,3530.0,5190.3,5043.2,5075.9,5620.8,4862.8,4694.5,4674.7,4251.9,5899.9,5675.2,5280.2,5234.8,4930.7,5607.3,5414.0,4737.5,4945.7,5026.5,4882.1,4295.6,5370.2
 "46000","South Dakota",4,SQGDP9,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of chained 2012 dollars",177.5,185.8,177.6,147.5,151.6,152.5,146.9,151.4,160.0,164.8,175.2,176.7,172.3,167.6,164.3,174.9,172.8,158.6,140.6,178.1,154.7,190.7,187.5,194.2,156.9,159.5,173.6,165.6,160.5,179.2,170.7,205.4,178.2,157.0,159.9,165.4,160.0,160.1,148.3,145.1,145.5,111.5,117.8,135.3,156.5,164.8,154.1,168.4,167.0,178.4,176.3,168.4,157.6,146.8,142.8,138.3,123.5,121.1,137.9,154.3,196.6,220.3,213.8,210.2,238.7,245.6,260.8,279.8,263.2,240.1,254.2,271.0,275.7
 "46000","South Dakota",4,SQGDP9,10,"22","   Utilities ","Millions of chained 2012 dollars",457.8,521.9,510.8,522.5,523.0,540.5,526.3,490.0,567.2,539.3,551.7,582.0,555.8,612.7,626.5,525.0,562.7,553.8,587.2,577.6,718.7,652.8,669.5,664.0,653.8,684.3,676.1,761.3,707.3,737.4,721.3,706.2,735.2,762.1,720.9,763.7,727.1,708.6,714.5,711.1,677.4,724.4,736.1,717.7,765.7,779.5,789.9,814.4,810.0,804.3,777.6,777.3,778.0,776.3,746.7,750.8,721.4,791.1,779.8,825.0,824.8,810.1,828.9,768.0,800.4,814.7,793.7,753.3,769.4,782.8,752.9,741.0,734.8
 "46000","South Dakota",4,SQGDP9,11,"23","   Construction ","Millions of chained 2012 dollars",1625.9,1615.8,1606.7,1573.3,1600.4,1599.8,1549.4,1487.7,1489.4,1544.8,1603.4,1600.2,1530.9,1511.9,1516.8,1439.3,1419.3,1524.6,1655.2,1467.7,1472.8,1490.6,1497.1,1505.2,1403.2,1465.8,1489.5,1577.9,1609.3,1582.9,1504.8,1523.4,1489.5,1498.0,1577.0,1540.8,1541.8,1546.9,1539.8,1534.4,1592.4,1573.6,1491.1,1494.3,1506.6,1542.2,1681.6,1547.1,1536.3,1502.7,1470.2,1504.7,1539.9,1521.3,1544.4,1549.3,1578.0,1578.7,1604.5,1621.1,1533.9,1539.5,1568.7,1601.0,1660.1,1677.2,1576.8,1510.0,1552.7,1487.8,1432.3,1403.8,1395.8
 "46000","South Dakota",4,SQGDP9,12,"31-33","   Manufacturing ","Millions of chained 2012 dollars",3275.4,3230.5,3186.8,3190.8,3531.4,3438.5,3390.6,3521.1,3533.3,3704.6,3857.1,3964.3,3656.6,3746.8,3770.0,3694.8,3134.0,3178.3,3218.6,3258.6,3342.3,3363.6,3536.2,3483.9,3697.7,3877.0,3930.9,4223.1,3801.1,3871.7,3837.9,3865.6,3934.0,3938.3,3854.2,3819.6,3906.0,3967.2,4069.3,4031.6,4098.4,4000.4,3985.2,3957.2,4308.0,4104.5,4159.7,4139.3,4000.9,4145.5,4286.7,4369.3,4204.6,4183.7,4127.0,3932.7,3948.4,3762.3,3744.7,3720.5,3815.2,3590.2,4061.0,4150.6,4184.1,4236.3,4145.9,4418.4,4228.3,4124.5,4130.6,4218.1,4187.7
 "46000","South Dakota",4,SQGDP9,13,"321,327-339","     Durable goods manufacturing ","Millions of chained 2012 dollars",2163.6,2206.2,2248.6,2316.8,2307.7,2357.6,2334.6,2413.1,2455.0,2551.9,2636.8,2673.9,2710.5,2696.1,2710.9,2532.4,2375.3,2281.9,2210.8,2162.4,2195.8,2212.6,2326.3,2370.0,2460.0,2647.7,2703.5,2990.7,2761.8,2782.7,2779.7,2838.4,2935.4,2949.0,2939.7,2916.9,2807.8,2783.8,2832.7,2793.4,2808.7,2823.1,2849.1,2866.6,2984.8,2916.8,2868.1,2775.7,2739.5,2674.6,2684.2,2715.4,2737.0,2732.8,2753.3,2708.4,2647.5,2608.5,2610.8,2610.2,2635.0,2433.1,2726.3,2831.3,2833.6,2927.3,2843.3,2993.3,2888.0,2837.4,2821.6,2903.8,2877.7
 "46000","South Dakota",4,SQGDP9,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of chained 2012 dollars",1147.5,1037.2,929.3,847.7,1263.8,1092.2,1065.1,1120.3,1080.6,1161.1,1235.2,1316.9,919.9,1041.7,1051.8,1168.4,742.0,889.9,1008.4,1101.5,1153.0,1156.8,1215.6,1115.9,1241.6,1231.2,1229.2,1233.0,1038.4,1089.2,1058.3,1027.7,999.1,989.2,912.7,901.0,1098.3,1184.8,1238.3,1239.7,1291.3,1177.7,1136.9,1092.3,1324.1,1189.5,1292.4,1363.3,1261.3,1470.2,1601.8,1653.2,1467.4,1450.8,1372.6,1221.8,1299.9,1151.0,1131.3,1108.0,1178.2,1155.3,1333.3,1317.2,1348.7,1306.9,1300.6,1422.6,1338.5,1286.5,1307.1,1313.7,1309.1
 "46000","South Dakota",4,SQGDP9,34,"42","   Wholesale trade ","Millions of chained 2012 dollars",2287.7,2261.4,2282.5,2353.3,2295.5,2308.4,2305.1,2330.1,2315.0,2428.0,2450.8,2488.6,2627.7,2616.8,2625.3,2528.2,2437.7,2357.0,2402.2,2509.1,2527.8,2718.4,2715.7,2662.0,2667.1,2644.5,2693.3,2887.1,2879.3,2944.8,2954.2,2936.2,3037.4,3018.7,3048.3,3109.1,3149.1,3200.9,3339.4,3300.2,3292.8,3352.2,3323.5,3314.6,3260.8,3233.5,3268.4,3249.8,3191.5,3195.6,3166.2,3161.5,3203.7,3215.0,3256.1,3208.5,3191.6,3080.7,3090.2,3054.5,3159.9,2927.6,3240.4,3240.1,3354.5,3332.9,3248.2,3413.7,3439.5,3366.6,3430.9,3476.4,3499.8
