GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1
 "55000","Wisconsin",3,SQGDP9,1,"...","All industry total ","Millions of chained 2012 dollars",261144.0,263150.4,266338.0,264162.0,267734.4,268156.5,268477.0,268617.8,268832.6,269463.8,270768.7,270669.4,268392.0,269644.2,267264.2,261207.3,255384.8,257171.4,259541.8,262946.9,262217.8,265202.6,268475.0,271427.8,269737.2,271863.8,273837.5,275814.4,278670.0,278550.6,276109.4,275098.5,277216.7,276695.2,278106.9,280041.0,279115.5,284671.9,285733.2,286403.9,287242.2,288980.0,289567.7,290518.1,290669.1,291545.2,293539.2,291927.6,290879.1,290115.7,293229.9,293466.1,297785.8,297405.5,299852.1,301207.0,301679.0,303440.2,303781.9,305775.0,299309.1,274801.0,297161.2,301148.2,301697.0,305501.5,306510.1,312161.0,312366.2,310909.7,311355.9,312176.7,313120.7
 "55000","Wisconsin",3,SQGDP9,2,"..."," Private industries ","Millions of chained 2012 dollars",229203.8,231311.5,233741.3,232777.9,235481.2,236560.8,235890.9,237157.9,236164.5,237569.5,238892.4,238255.1,236157.4,236985.0,234578.2,228009.8,223450.0,223988.0,226305.1,229104.2,229855.1,232164.7,234679.3,238032.3,236317.9,239063.7,240793.6,243631.6,244994.6,245803.1,243547.9,242091.9,245412.8,244485.3,247128.4,248424.2,247573.3,252716.1,254772.9,254595.8,257176.9,257654.2,259261.3,259184.5,260130.4,260881.0,261575.4,262021.2,259753.9,260449.8,261669.0,263660.0,266647.2,267553.9,269398.9,270446.6,271533.8,272677.1,273322.3,274380.4,268403.5,245207.3,267613.8,270276.9,272641.0,275407.3,275836.7,281398.9,283108.3,281399.5,281807.9,282122.8,282794.2
 "55000","Wisconsin",3,SQGDP9,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of chained 2012 dollars",4803.1,5281.6,5470.5,5464.1,5709.0,6115.3,5392.9,4611.5,6342.3,5643.9,5041.7,4511.1,4109.1,4089.2,4353.6,5897.1,3036.3,4058.3,5161.0,5280.0,5783.4,5454.8,4786.4,4267.5,5189.4,5155.3,5263.1,5602.6,5034.3,4997.7,4910.7,4809.6,4730.5,5482.8,5337.2,5433.3,5402.4,5712.5,6159.0,6596.1,6514.5,6855.1,6888.3,6119.8,6912.9,6614.6,6484.9,6033.1,6410.2,6666.1,6190.9,6124.1,6594.3,6726.4,6247.7,6479.4,6484.3,6915.4,6454.4,6372.9,(D),(D),(D),(D),5362.5,5738.1,5368.1,6339.1,7373.0,7141.2,6733.9,6034.1,6328.8
 "55000","Wisconsin",3,SQGDP9,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of chained 2012 dollars",826.0,814.9,703.1,687.8,808.4,826.3,802.6,785.3,751.6,713.1,670.2,642.8,641.1,584.0,563.8,615.2,586.3,562.9,602.5,610.3,576.3,708.5,720.7,655.7,539.8,506.6,485.1,499.2,475.3,498.6,475.0,517.3,557.5,586.0,668.9,763.5,842.7,1110.4,1120.8,1436.2,1802.7,1764.5,1694.3,1524.9,1138.2,793.3,639.5,560.6,591.4,706.3,842.9,1048.3,1267.2,1342.2,1336.9,1223.8,1094.2,942.7,824.7,695.4,(D),(D),(D),(D),498.3,542.5,633.4,687.0,597.4,590.6,620.6,649.3,643.0
 "55000","Wisconsin",3,SQGDP9,10,"22","   Utilities ","Millions of chained 2012 dollars",3933.3,3842.7,4076.2,3836.8,3749.4,4129.0,4320.5,4339.8,4222.9,4200.8,4301.2,4163.5,4631.4,5105.9,4967.0,4299.4,3819.4,4063.6,4398.8,4729.1,4684.0,4548.1,4733.9,5043.9,4819.4,4993.4,4841.6,5635.4,5144.1,5312.6,5149.4,5094.4,5558.2,5619.1,4935.5,4749.1,4955.9,4820.1,5096.3,4947.9,4687.5,4642.8,5093.3,5043.7,5105.0,5161.9,5217.9,5141.7,4779.2,5025.2,4985.3,5130.0,4557.9,4712.4,4594.7,4624.9,4112.1,4482.9,4427.6,4709.3,4359.6,4301.1,4257.6,4306.4,3934.9,4032.1,3946.9,3898.8,3693.2,3772.7,3633.4,3612.2,3532.1
 "55000","Wisconsin",3,SQGDP9,11,"23","   Construction ","Millions of chained 2012 dollars",13433.6,12846.5,12444.8,12282.9,12165.4,11999.7,11474.1,11099.5,11327.1,11382.7,11351.0,11232.1,10775.0,10666.5,10957.9,10430.9,9800.0,9664.3,9834.5,9174.9,9292.9,9039.2,8701.2,8583.1,8724.4,8678.7,8498.1,8590.3,9001.0,9147.2,8704.3,9154.8,9340.1,9205.3,9451.6,9331.8,9288.3,9325.2,9523.5,9606.0,9734.2,9858.1,9874.4,9775.8,10203.3,9960.9,9857.2,9978.4,10290.5,10225.3,10291.4,10346.0,10669.9,10462.3,10516.5,10627.7,10571.6,10599.9,10646.3,10699.7,10566.7,10096.8,10284.6,10516.3,10871.5,10806.8,10514.3,10112.3,10248.7,9675.0,9289.7,9252.0,9222.0
 "55000","Wisconsin",3,SQGDP9,12,"31-33","   Manufacturing ","Millions of chained 2012 dollars",51044.0,51099.7,51807.7,52602.1,54617.8,55152.0,54835.9,56194.3,54522.4,54792.5,55549.1,54790.2,52710.5,52608.6,51192.9,48012.2,44448.4,44979.4,45293.9,47282.5,47942.9,48948.0,50744.0,51548.4,50536.6,51974.7,52933.2,53654.9,54242.2,54859.2,53476.6,53914.9,55519.2,53842.3,54676.4,55299.5,53677.1,55628.5,55295.1,54811.5,54903.8,54617.6,54350.1,54110.7,54831.1,54078.7,54264.3,52905.2,53503.8,52430.7,52358.4,53141.0,52794.9,53563.7,54177.9,55168.2,55171.8,56461.1,56622.4,56374.5,54179.6,48655.7,54399.1,54868.2,56649.1,57620.1,57501.9,60012.0,57723.8,56428.0,56044.7,56567.9,55902.6
 "55000","Wisconsin",3,SQGDP9,13,"321,327-339","     Durable goods manufacturing ","Millions of chained 2012 dollars",28521.1,28636.3,29061.0,29760.7,30543.5,31068.3,30986.8,31770.8,30516.3,31085.2,31804.7,30842.4,30983.7,30239.8,29837.7,27185.9,24575.4,23234.6,22875.7,23781.6,24955.3,26673.0,28811.8,30145.9,29788.8,30962.1,31820.0,32158.2,31965.4,32792.9,32307.1,33150.1,34242.9,32945.2,33273.9,33735.3,31874.3,32501.0,32343.8,31991.8,32218.8,32196.7,32132.1,31655.7,31838.3,30925.2,30878.1,30334.4,31718.6,31151.6,31788.2,32442.4,32128.7,32236.8,32651.3,33194.8,33269.6,33201.3,32947.1,32370.7,30943.2,26985.3,30537.0,31031.7,32892.7,33754.4,33324.8,34815.1,33685.9,33453.2,33292.1,33780.9,33100.9
 "55000","Wisconsin",3,SQGDP9,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of chained 2012 dollars",22550.4,22470.8,22747.9,22788.0,24092.5,24058.5,23805.9,24372.3,24012.6,23638.7,23628.5,23930.4,21501.8,22256.4,21214.7,20772.6,19888.2,21898.7,22613.4,23705.1,23121.4,22338.4,21949.9,21400.8,20749.8,21014.5,21115.3,21498.7,22288.0,22061.3,21160.7,20767.5,21277.9,20895.3,21402.3,21563.1,21801.5,23130.4,22954.6,22823.1,22687.1,22423.3,22223.2,22453.7,22989.3,23144.0,23374.1,22562.1,21798.2,21291.2,20589.6,20722.6,20689.3,21345.8,21544.9,21989.8,21914.9,23277.1,23694.8,24024.5,23257.9,21682.9,23879.0,23855.3,23777.0,23892.5,24201.2,25224.3,24072.7,23048.8,22831.8,22880.5,22870.4
 "55000","Wisconsin",3,SQGDP9,34,"42","   Wholesale trade ","Millions of chained 2012 dollars",16084.5,16332.7,16365.5,16614.2,16573.6,16451.8,16501.1,16694.5,16431.7,16768.4,16753.4,16855.4,17274.9,17397.5,17418.6,16756.0,15671.9,15136.3,15019.3,15411.1,15320.8,15777.3,16340.5,16449.8,16101.6,15861.1,15942.2,16447.6,16367.7,16745.6,16641.7,16339.2,16996.7,16816.4,17001.5,17183.9,16890.5,17195.6,17762.3,17561.8,17665.0,18040.9,18215.4,18115.4,17914.8,18508.4,18210.7,18017.0,18368.2,18322.3,18534.9,18710.0,19144.8,18793.9,19065.1,18889.0,18195.0,17667.9,17788.2,17988.3,18376.0,17511.6,19151.3,19064.6,19479.2,19393.2,19137.8,19549.5,19274.6,18917.2,19089.5,19262.4,19472.6
