GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1
 "15000","Hawaii",8,SQGDP9,1,"...","All industry total ","Millions of chained 2012 dollars",66097.3,66774.7,67374.0,68249.4,68079.2,68669.1,69149.5,69139.5,69085.4,69427.6,70549.8,71258.7,71000.7,71402.9,70478.0,68961.7,68109.6,68023.6,67634.3,67942.5,68728.3,69123.5,70150.4,70510.2,70544.6,70433.4,70244.4,71364.0,71501.4,71955.9,72214.9,71949.0,73259.9,72764.9,73023.4,73204.7,72819.7,73307.1,73905.3,74017.5,75067.0,75773.2,76100.3,76537.4,76895.9,77135.4,77422.6,77761.6,78552.3,78686.5,79251.0,79300.0,79488.6,80091.8,80020.8,79780.0,78923.8,78928.8,79498.5,79502.4,76310.1,65797.9,68278.7,70050.9,71310.6,74502.0,76530.9,75845.4,74973.0,75083.5,75694.7,75922.0,76524.6
 "15000","Hawaii",8,SQGDP9,2,"..."," Private industries ","Millions of chained 2012 dollars",51446.9,52211.0,52996.9,53518.0,53381.0,53810.4,54143.2,54170.9,54226.7,54584.4,55542.9,56077.4,55708.7,55957.9,54945.1,53512.0,52571.1,52420.2,52217.1,52649.8,52994.1,53562.8,54519.7,54981.1,54421.0,54451.7,54463.3,55204.6,55480.9,55756.4,56053.5,55902.3,57356.6,56925.9,57249.8,57454.2,56681.1,57232.5,57863.5,58095.7,59009.1,59711.6,60009.1,60608.2,60441.2,60822.2,61186.4,61319.9,62255.2,62439.5,62988.5,63110.5,63753.6,64305.3,64251.3,64035.8,63350.2,63277.5,63873.4,63837.5,60626.2,50492.8,52872.7,54403.4,55384.9,58717.8,60808.2,60531.1,59476.5,59606.4,60181.0,60350.3,60757.0
 "15000","Hawaii",8,SQGDP9,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of chained 2012 dollars",645.3,662.5,659.4,620.7,691.9,711.1,674.7,731.0,536.1,511.0,483.7,510.9,501.1,514.1,527.6,528.7,743.7,692.9,727.4,674.7,638.6,645.3,633.2,637.9,573.8,562.4,555.6,583.7,548.2,541.0,531.9,510.7,456.5,500.8,512.8,528.3,534.8,494.7,473.9,452.6,599.9,601.6,579.0,592.1,582.1,564.0,603.2,662.5,594.2,624.6,640.9,627.1,578.0,560.6,567.1,556.7,519.1,517.3,497.4,498.0,398.8,564.2,480.3,410.3,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "15000","Hawaii",8,SQGDP9,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of chained 2012 dollars",84.3,83.2,73.1,77.4,93.1,91.4,107.8,119.9,138.9,142.0,139.8,128.1,138.7,124.7,111.2,128.6,123.3,123.8,124.0,125.5,102.3,100.8,92.5,81.7,71.2,67.6,68.5,67.8,65.1,70.9,70.5,75.0,67.5,64.3,68.3,75.5,73.5,71.9,68.8,59.7,77.0,65.2,72.2,83.9,102.7,80.3,75.3,67.5,65.0,66.1,69.9,72.1,77.5,87.4,85.1,87.0,78.0,81.1,74.8,71.6,77.5,79.7,84.1,78.2,84.1,85.0,92.5,100.6,97.6,92.8,94.2,97.4,96.9
 "15000","Hawaii",8,SQGDP9,10,"22","   Utilities ","Millions of chained 2012 dollars",1186.0,1152.5,1143.6,1196.0,1173.6,1352.6,1343.2,1301.8,1255.5,1300.0,1353.2,1394.9,1421.9,1614.6,1549.0,1449.8,1278.2,1307.1,1365.1,1284.4,1635.1,1461.8,1666.2,1703.0,1773.0,1874.4,1831.1,2102.3,2015.1,2096.9,2074.0,2007.3,2129.4,1964.7,1958.4,1880.8,1851.4,1867.1,1946.2,1778.1,1688.2,1618.5,1655.8,1673.7,1617.4,1698.1,1630.8,1727.4,1616.8,1698.2,1655.1,1699.7,1658.4,1698.9,1661.0,1595.8,1504.0,1638.7,1523.6,1715.1,1640.4,1618.4,1492.4,1508.2,1514.4,1520.6,1534.3,1303.4,1607.4,1639.6,1589.2,1543.1,1530.4
 "15000","Hawaii",8,SQGDP9,11,"23","   Construction ","Millions of chained 2012 dollars",4436.1,4628.0,4740.8,4677.0,4580.8,4634.1,4702.1,4667.7,4852.8,4941.0,5042.6,4930.7,4916.2,4825.7,4793.9,4688.8,4351.4,4322.7,4244.5,4192.0,3942.5,3889.1,3770.1,3782.7,3543.7,3633.8,3733.6,3660.5,3604.2,3608.7,3655.5,3727.7,3581.2,3590.1,3526.1,3488.5,3499.9,3510.8,3544.4,3579.7,3763.3,3860.8,3918.9,4164.7,4231.2,4226.4,4307.4,4167.9,4219.4,4096.4,4047.3,3960.4,3969.7,3898.6,3914.0,3971.1,4038.3,3979.6,3942.5,3923.9,3737.5,3740.9,3813.7,3893.0,3781.5,3850.6,3686.4,3518.5,3263.0,3060.0,2898.6,2866.8,2853.6
 "15000","Hawaii",8,SQGDP9,12,"31-33","   Manufacturing ","Millions of chained 2012 dollars",1585.0,1574.7,1539.1,1550.6,1568.8,1545.8,1537.1,1553.2,1473.3,1504.7,1557.2,1639.0,1728.9,1837.4,1819.9,1709.4,1654.8,1820.0,1768.2,1786.6,1650.9,1540.9,1491.6,1478.4,1487.0,1477.4,1416.4,1420.4,1477.5,1437.4,1416.6,1398.9,1570.8,1552.2,1621.7,1636.4,1644.4,1731.8,1761.9,1771.6,1749.2,1719.0,1732.2,1718.2,1855.4,1812.5,1831.8,1796.8,1762.8,1796.8,1780.6,1793.6,1842.9,1848.6,1730.3,1708.3,1601.2,1534.3,1577.4,1548.6,1549.4,1290.4,1443.2,1452.0,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "15000","Hawaii",8,SQGDP9,13,"321,327-339","     Durable goods manufacturing ","Millions of chained 2012 dollars",285.0,314.5,315.0,329.1,323.5,317.4,331.9,341.7,351.5,362.9,369.5,353.8,381.6,373.1,371.6,358.5,339.0,330.8,338.0,335.4,334.4,322.9,328.3,341.1,360.4,377.2,358.8,357.7,332.2,318.6,327.3,330.7,353.0,360.0,363.0,353.6,331.6,338.2,334.7,331.5,321.3,322.5,330.5,338.5,374.5,363.3,366.5,362.6,385.7,389.2,402.1,406.8,392.5,392.7,391.1,413.8,403.6,400.4,405.2,394.5,366.2,307.1,363.8,373.8,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "15000","Hawaii",8,SQGDP9,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of chained 2012 dollars",1330.1,1276.6,1237.1,1230.2,1257.4,1241.0,1211.9,1216.0,1115.8,1134.6,1182.5,1291.5,1351.4,1478.7,1461.5,1359.9,1327.1,1520.5,1452.1,1476.1,1328.8,1226.0,1167.0,1138.5,1126.3,1098.8,1056.7,1062.0,1145.3,1118.8,1089.3,1068.2,1217.9,1191.4,1259.0,1284.2,1316.4,1398.3,1433.1,1446.8,1435.7,1403.4,1407.7,1383.5,1481.5,1450.2,1466.3,1434.0,1366.2,1398.0,1364.6,1372.9,1441.2,1446.8,1326.5,1276.4,1176.5,1109.8,1148.8,1132.0,1172.3,973.7,1059.6,1055.7,1070.6,1131.3,1148.1,1169.2,1126.3,1100.8,1109.3,1119.5,1115.7
 "15000","Hawaii",8,SQGDP9,34,"42","   Wholesale trade ","Millions of chained 2012 dollars",2418.6,2451.4,2436.1,2506.7,2364.2,2386.6,2429.4,2416.7,2391.4,2467.7,2489.8,2561.1,2561.7,2559.4,2498.7,2426.4,2235.7,2192.4,2178.2,2230.5,2185.5,2252.1,2312.9,2328.8,2284.6,2285.5,2271.4,2373.8,2305.1,2368.9,2369.2,2307.2,2433.9,2376.2,2396.5,2423.8,2357.8,2443.5,2579.4,2496.7,2567.8,2602.7,2637.8,2607.0,2526.8,2598.8,2601.4,2599.4,2759.6,2592.1,2579.6,2644.7,2586.9,2569.7,2603.9,2588.0,2633.0,2590.2,2565.5,2581.1,2562.6,2269.5,2422.6,2436.2,2402.2,2604.5,2598.5,2584.7,2413.7,2311.7,2282.4,2279.8,2284.1
