GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1
 "27000","Minnesota",4,SQGDP9,1,"...","All industry total ","Millions of chained 2012 dollars",281852.6,283117.0,288035.3,285542.9,285415.2,287334.2,282496.4,282282.0,282063.0,286921.1,286994.2,289218.5,289988.0,289875.2,292005.2,281814.2,276441.7,275939.2,276599.7,280995.8,280242.7,284438.3,288558.8,295320.7,290670.7,295739.8,293239.9,295482.2,297973.3,298056.9,299165.6,298117.4,301068.7,302988.7,308266.3,309622.0,309035.2,313840.3,317541.0,315948.9,318594.9,317362.4,318761.2,320934.4,320479.4,321655.3,326836.3,327150.2,328947.8,327108.3,325164.4,328712.3,332970.5,336235.3,338978.6,339384.7,337487.5,339308.7,342364.7,343067.7,337282.4,309700.2,331040.1,335935.5,339113.7,348488.9,346693.2,350521.5,349908.0,348770.4,350741.2,351838.6,353719.6
 "27000","Minnesota",4,SQGDP9,2,"..."," Private industries ","Millions of chained 2012 dollars",250754.1,251722.3,256476.9,254142.9,253808.2,256227.0,251149.3,251267.9,251276.7,256149.4,256278.7,258616.2,258714.1,258432.4,260437.7,250987.5,245597.9,245170.6,245708.2,249692.3,249548.6,253774.2,257200.3,264182.7,260461.8,265585.6,263184.1,265172.3,268129.5,267943.6,269186.7,268059.1,271074.3,272803.5,278385.3,279800.9,279417.2,284000.1,287869.4,286035.0,288732.0,286954.5,288816.5,290345.9,290555.0,291403.3,296123.4,297034.0,298552.6,297128.1,295166.2,298619.7,302897.0,305713.2,308292.4,308830.5,306557.3,307798.0,310434.6,311210.0,305210.4,279630.6,300137.0,304686.1,309493.3,317818.1,316014.7,319428.0,319806.5,318967.1,320846.3,321685.5,323320.5
 "27000","Minnesota",4,SQGDP9,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of chained 2012 dollars",6508.1,6647.5,6513.1,6466.2,6988.8,7738.3,7434.0,7322.6,6028.6,5998.0,5722.2,6007.8,7689.0,7646.5,7721.7,8270.5,6750.5,6864.6,7572.7,7484.9,7180.8,7484.8,7567.1,7411.1,7411.4,7060.5,6879.8,7119.2,7919.7,8557.0,9380.1,8943.9,8035.3,8674.5,9057.2,7945.1,7671.4,7874.9,7719.3,7787.7,7142.2,7447.4,8161.6,8978.7,7382.3,7892.8,7849.0,7129.4,8992.6,8027.4,7217.0,6987.9,6441.9,7540.1,7770.5,8309.0,6529.7,7130.8,7062.2,6309.4,9020.3,7560.5,7380.8,7448.4,6363.0,8214.5,8419.4,7574.5,8490.9,8871.7,8537.8,7680.6,9243.7
 "27000","Minnesota",4,SQGDP9,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of chained 2012 dollars",1953.7,2087.6,1718.6,1745.5,2002.6,2070.1,1964.6,1858.0,1722.4,1600.5,1539.8,1544.0,1741.9,1808.0,1946.3,1991.3,1602.3,1011.8,1059.4,1436.3,1969.6,2744.8,3205.8,3244.7,3468.1,3475.4,3314.7,3420.2,3042.6,3102.6,2838.8,2674.3,2756.2,2635.1,2828.8,3116.4,3060.6,3034.6,2682.1,2050.3,1124.9,519.5,450.3,829.9,1505.6,1871.3,2109.1,2024.0,1831.6,1759.4,1709.2,1675.2,1660.0,1840.5,1943.1,2376.0,2400.2,2383.5,2516.5,2448.3,2676.9,2125.7,2007.6,1809.0,2068.0,2213.2,2236.2,2358.7,2090.5,2022.8,2084.0,2156.0,2182.3
 "27000","Minnesota",4,SQGDP9,10,"22","   Utilities ","Millions of chained 2012 dollars",3270.7,3537.0,3438.5,3555.5,3283.6,3624.8,3693.1,3608.5,3573.1,3717.3,3750.1,3776.2,3948.4,4104.4,4303.0,3760.6,3304.3,3732.9,3996.3,4091.8,4330.7,4247.5,4401.0,4572.7,4475.8,4830.9,4761.0,4945.7,4772.8,4816.7,4732.1,4825.6,4945.9,5197.4,4997.3,5186.2,4727.4,4672.8,4786.2,4825.3,4280.4,4766.2,4682.8,4581.9,4707.5,4766.8,5118.1,5052.0,4817.8,4873.6,4781.9,4834.5,4817.7,4781.7,4627.2,4615.3,4550.8,4789.2,4681.3,4957.9,5013.0,4898.5,4932.2,4984.1,4649.3,4797.8,4709.9,4627.4,4504.8,4586.6,4400.1,4378.8,4373.8
 "27000","Minnesota",4,SQGDP9,11,"23","   Construction ","Millions of chained 2012 dollars",15973.9,15410.1,15412.5,14881.8,14811.2,14724.2,14039.5,13635.5,13929.2,14077.4,13768.3,13270.4,12597.2,12276.2,12263.4,11110.6,10312.5,10175.7,10118.3,10069.9,9778.8,9331.3,9164.4,9107.0,9460.2,9392.3,9506.1,9580.6,9889.1,10063.1,9928.1,9906.0,10222.8,10385.4,10708.3,10816.3,10722.7,10847.1,11073.5,11164.1,11576.6,11716.7,11836.9,11887.8,12180.0,12076.8,12008.8,12239.3,12715.3,12615.1,12513.5,12760.1,12659.6,12447.2,12768.9,12790.0,12543.3,13131.4,13246.0,13058.5,12529.9,12220.5,12261.1,12662.2,13674.2,13301.1,13092.4,12478.7,12240.9,11544.1,11044.3,10875.3,11038.4
 "27000","Minnesota",4,SQGDP9,12,"31-33","   Manufacturing ","Millions of chained 2012 dollars",37415.1,38570.9,39773.4,40542.7,40094.6,40588.9,38970.0,39445.3,37962.1,38269.8,38887.1,39832.3,39701.8,41815.6,41678.0,39885.4,37511.8,38491.3,38272.3,39430.8,38304.7,39670.1,41164.6,42475.2,41169.9,43018.6,42605.3,43126.1,43629.1,42600.8,42189.8,41624.3,43176.2,43792.9,44771.1,45111.4,45866.4,47345.4,48198.1,47629.1,48196.5,46469.2,47403.7,46925.6,47589.6,47117.0,47563.3,47291.3,46505.7,46599.4,46329.7,48058.5,48472.9,49400.0,49066.7,49342.4,47586.0,47636.7,48577.9,48538.3,46523.6,41922.2,46243.9,47405.8,48554.1,49252.8,48904.4,49914.6,49205.6,48562.0,48560.4,49224.0,48449.5
 "27000","Minnesota",4,SQGDP9,13,"321,327-339","     Durable goods manufacturing ","Millions of chained 2012 dollars",20034.0,20781.1,21423.1,22053.7,21693.0,22180.4,21284.2,21300.5,20929.6,21091.9,21588.7,21942.8,22279.8,23504.2,23881.2,22882.6,20910.6,20670.1,20178.3,21085.0,21335.4,23011.2,24753.2,25479.8,24159.1,25637.1,25222.8,25550.6,25549.6,25441.7,25595.6,25964.5,26853.3,27374.7,28164.4,28331.4,28297.3,28880.9,29648.1,29106.4,29807.9,28933.0,29683.5,29730.8,29545.9,29128.9,29382.6,29580.8,29304.4,29126.1,29046.6,30028.9,29790.8,30119.0,29969.1,30263.3,29777.6,29887.7,30256.3,30111.7,29190.4,25796.5,28661.0,29305.8,30567.5,31036.8,30341.9,31290.9,31006.8,30982.2,30989.2,31613.7,31056.6
 "27000","Minnesota",4,SQGDP9,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of chained 2012 dollars",17921.9,18276.0,18854.6,18904.5,18864.5,18790.1,18058.8,18616.4,17325.3,17477.4,17552.5,18203.0,17604.2,18489.3,17859.4,17056.6,16804.2,18234.2,18601.5,18793.8,17201.1,16719.2,16340.3,16942.4,17026.4,17383.8,17396.0,17587.7,18092.5,17154.7,16585.0,15660.3,16315.6,16400.8,16573.9,16748.1,17562.3,18476.2,18551.7,18533.8,18380.4,17517.5,17692.4,17147.5,18037.3,17990.5,18183.9,17676.4,17151.8,17446.0,17253.1,18006.5,18674.8,19279.8,19095.3,19071.6,17775.2,17708.3,18293.6,18407.4,17285.6,16137.8,17571.8,18100.5,17944.9,18175.2,18527.2,18594.6,18176.2,17585.4,17577.5,17631.4,17408.8
 "27000","Minnesota",4,SQGDP9,34,"42","   Wholesale trade ","Millions of chained 2012 dollars",21387.3,20779.2,21138.2,21304.4,21953.1,21816.2,21940.1,21658.7,21737.4,22500.1,22302.2,22537.8,23061.0,22211.1,22434.0,21084.5,20331.9,19749.1,19569.3,20700.6,21102.9,21187.0,22029.9,21760.5,22127.1,22594.4,22162.1,23000.0,22492.4,23307.5,23487.5,23196.7,23693.3,23072.0,23870.0,24255.9,23549.5,24151.8,24837.0,24743.0,25056.5,24734.1,24943.4,24877.5,24415.6,24098.8,24415.9,24360.9,24373.4,24971.4,23913.1,24065.3,25243.4,24598.7,24699.7,24738.7,24096.6,23417.0,23847.7,23927.1,24050.8,21837.6,23889.5,24531.9,25246.7,24874.2,24440.8,25073.3,25105.4,24503.9,25139.5,25271.5,24972.8
 "27000","Minnesota",4,SQGDP9,35,"44-45","   Retail trade ","Millions of chained 2012 dollars",16343.0,16771.7,17314.7,16674.8,16643.0,16682.4,16048.7,16140.9,15776.8,15583.7,15467.1,15831.7,15642.6,15745.2,15411.3,14980.9,14985.6,14763.1,14599.4,15146.6,15329.5,15722.0,15700.2,15783.8,15463.1,15665.0,15495.2,15624.3,15348.3,15090.5,15604.4,15729.2,16549.3,16616.3,16729.4,16704.4,16673.2,16621.3,16666.1,16629.3,16832.8,17147.3,17352.3,17434.5,17623.2,17873.5,18270.2,18374.9,18402.4,18544.8,18893.1,18875.1,19054.5,19126.2,19338.9,19296.8,18981.3,19259.8,19480.2,19392.3,18547.9,17172.7,18760.6,18671.1,19546.0,18440.3,17818.8,17932.5,17168.6,17233.6,17520.0,17944.5,18389.5
 "27000","Minnesota",4,SQGDP9,36,"48-49","   Transportation and warehousing ","Millions of chained 2012 dollars",8601.9,8656.4,9124.9,8738.7,8530.7,8556.5,8568.0,8537.7,8529.4,9627.3,8568.3,8583.9,8900.5,8433.8,8394.2,9612.9,8023.4,8078.1,8109.8,8095.5,8227.7,8302.6,8550.2,8580.9,8791.1,8757.4,8661.5,8586.5,8709.0,8491.1,8475.2,8541.0,8745.9,8788.0,8808.2,8922.0,8741.6,8698.1,8875.6,9051.4,8904.3,9166.9,9308.2,9160.5,9425.3,9227.0,9177.6,9586.7,9858.6,9859.7,9988.5,10034.6,10114.0,10032.8,10118.8,10141.7,10152.2,10115.7,10132.4,9901.1,9544.9,7070.2,8219.7,8103.5,8445.4,8642.0,8984.9,9138.4,9055.4,9027.5,9237.4,9413.7,9464.5
