GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1
" ""01000"",""Alabama"",5,SQGDP9,1,""..."",""All industry total "",""Millions of chained 2012 dollars"",182600.4,184625.7,184134.9,186116.9,186539.0,187489.6,187442.8,187611.6,187376.1,188746.2,189934.1,189953.7,188933.9,189288.6,187535.2,182028.9,180072.9,180406.4,180990.1,181359.2,181276.7,183649.6,187004.4,186878.9,185740.7,186746.9,187669.2,190266.5,190077.6,190536.7,188418.1,187949.6,191903.7,191053.3,192256.9,190265.3,187517.5,189967.8,191075.8,190984.2,189878.6,191535.8,192148.5,191778.0,193112.6,194227.5,194380.5,195414.6,196339.2,196230.9,196784.7,198544.8,199763.1,200149.4,200286.4,201291.6,202118.2,202918.2,204228.6,204465.8,204004.9,186912.4,204205.1,204400.7,207001.8,209857.1,210029.1,213029.2,212789.5,212311.6,212946.3,215011.6,215084.4"
" ""02000"",""Alaska"",8,SQGDP9,1,""..."",""All industry total "",""Millions of chained 2012 dollars"",45176.1,45776.9,45501.7,46173.5,47346.6,48911.2,49486.7,51016.2,51384.8,52275.8,52106.7,51116.5,49885.8,48777.2,50833.6,55511.7,57551.9,56989.5,55545.6,54773.5,53479.1,54794.8,55173.0,54959.1,53410.9,54642.5,55356.9,57711.1,57685.0,59227.9,58744.5,57477.2,56769.5,54798.0,55176.3,54673.4,53780.7,54013.5,54271.9,54686.8,55210.6,54650.5,54560.8,54541.5,55065.2,54197.5,53849.2,53874.6,54049.9,54133.8,54771.1,54159.9,53587.9,53171.0,53245.9,53303.1,53136.3,53072.5,53940.9,53585.5,53030.0,48540.1,50181.2,51069.4,50690.3,50707.9,50935.9,51143.5,49070.4,48963.4,49999.1,50501.7,50700.8"
" ""04000"",""Arizona"",6,SQGDP9,1,""..."",""All industry total "",""Millions of chained 2012 dollars"",256521.4,260884.6,265619.7,266278.2,271247.2,271897.9,275090.9,278481.7,279269.0,282276.6,285827.2,285630.2,285356.3,285017.1,281661.6,271205.2,261774.7,256640.0,254266.1,257313.1,255010.4,259202.3,262030.2,264985.6,263630.3,264532.0,265432.6,270811.2,270945.9,272153.0,271149.3,271511.9,272653.7,272500.2,273546.4,275227.2,275486.8,276481.0,278221.4,277606.6,281222.8,282426.5,281689.2,284969.4,286940.7,289953.3,293674.5,294532.4,299029.1,300828.8,306349.5,308216.8,312663.6,313425.3,316005.5,317215.3,320391.8,323022.0,327457.6,330709.7,328587.6,310250.0,331692.4,338182.1,339659.7,344936.2,348706.0,357322.0,355309.3,353565.6,356966.0,359827.3,362191.9"
" ""05000"",""Arkansas"",5,SQGDP9,1,""..."",""All industry total "",""Millions of chained 2012 dollars"",104693.3,105271.5,105872.6,108082.4,108122.4,109421.7,108515.5,107782.7,105496.6,106460.1,106792.1,111675.6,106514.9,107887.2,107000.4,104743.4,105389.1,101652.8,102153.5,102791.0,102789.8,105525.4,107112.0,107220.9,106992.8,107614.0,107800.8,109322.6,109050.0,109000.4,108335.1,107582.7,110536.4,110322.7,111177.9,110972.6,110925.0,111544.9,112045.8,112422.3,111583.0,112224.6,112863.5,112732.8,112424.3,112549.8,112484.3,113734.1,113217.1,113428.7,113821.7,114933.5,115480.8,115316.6,116197.4,116546.1,116488.4,116386.4,117477.3,118152.6,118972.3,111033.0,119377.4,119689.9,121860.2,123015.2,123676.9,124837.0,126803.5,125830.9,126248.3,127245.8,127312.2"
" ""06000"",""California"",8,SQGDP9,1,""..."",""All industry total "",""Millions of chained 2012 dollars"",1896451.4,1913819.0,1940272.3,1956825.6,1998965.4,1992185.0,2003116.6,2015482.7,2010197.5,2028647.2,2047151.8,2078772.2,2048458.1,2090779.0,2089111.0,2018207.0,2014380.2,1989827.3,1983954.8,1993596.4,2014927.8,2023682.5,2030692.7,2074757.2,2063725.7,2066176.3,2057265.9,2068142.1,2097468.6,2100537.7,2112352.9,2142026.6,2138941.9,2156746.2,2184393.8,2236834.0,2216087.8,2241222.5,2281298.4,2285610.2,2332010.5,2362335.5,2365812.5,2369653.2,2406765.8,2406800.8,2441320.6,2456691.1,2479092.3,2516279.8,2557690.3,2599753.8,2603286.7,2635489.3,2662669.0,2674799.7,2682675.6,2720749.7,2740837.8,2772640.2,2726966.1,2497144.4,2698461.3,2746311.9,2802569.5,2858504.7,2894880.5,2942968.5,2870410.5,2866766.2,2893948.3,2911384.3,2919913.3"
" ""08000"",""Colorado"",7,SQGDP9,1,""..."",""All industry total "",""Millions of chained 2012 dollars"",250734.2,251939.1,253059.7,250500.7,256879.2,255511.4,259127.6,258202.5,261339.4,265303.1,267714.0,273193.4,270427.7,272668.6,272262.6,268566.7,267475.2,262831.1,264442.7,265116.1,264279.2,265486.2,268419.5,273250.7,270474.2,271053.5,271376.9,273898.0,275172.9,276919.0,276451.2,278749.5,283490.7,283967.3,287284.3,290294.0,292113.6,295755.1,300430.9,306321.4,309642.5,311206.2,313371.0,315418.9,314964.4,316105.6,320509.4,324234.0,324788.1,327049.7,331876.6,335938.7,339024.9,341279.8,343556.7,347071.2,350431.0,355838.1,363469.4,364015.4,364343.9,333946.6,357012.4,358077.8,366673.8,371776.5,374332.1,382270.9,384984.6,383060.0,386374.9,388919.9,390720.5"
" ""09000"",""Connecticut"",1,SQGDP9,1,""..."",""All industry total "",""Millions of chained 2012 dollars"",236627.0,238189.5,237983.3,241398.4,249100.4,246858.5,246937.1,250039.3,258116.3,258100.6,258695.3,256899.9,269900.2,265383.3,254868.2,240872.2,246919.0,244143.1,243640.6,244876.4,243504.8,245522.0,245500.5,242891.6,237263.1,239617.8,237947.0,239341.7,240932.4,241451.5,240699.6,240564.1,237008.3,235342.3,236373.7,235478.3,231554.2,234565.8,237162.3,239841.4,242291.6,243542.0,242306.5,242686.1,243591.8,242970.3,242690.1,243894.5,243458.0,247388.4,248506.7,248790.5,248666.2,246899.6,250921.2,249812.0,251484.3,251650.1,251556.4,251582.1,243008.4,220597.9,237183.6,240149.7,240879.9,246676.8,248028.1,250638.6,254010.8,250985.1,252526.3,252610.9,252808.8"
" ""10000"",""Delaware"",2,SQGDP9,1,""..."",""All industry total "",""Millions of chained 2012 dollars"",58721.4,57325.3,57194.8,64098.7,60658.4,61328.7,60745.3,59764.7,60383.9,61806.6,60284.7,59436.3,58734.6,59173.2,58921.9,57793.0,61222.9,62096.9,62197.6,60553.4,61290.1,59817.6,60268.2,60932.9,62150.3,62703.8,63487.8,63335.4,63922.1,62848.8,62056.8,60590.7,59575.1,59423.6,59772.8,62171.7,62662.9,64638.8,65972.4,66486.2,67205.5,68348.4,66082.5,65537.4,63568.9,63407.0,62664.9,62364.6,61651.2,59733.1,60072.4,59973.4,60369.1,60863.7,62156.8,62310.9,63295.1,63873.7,64475.1,64930.1,63390.8,59399.1,63312.7,63024.4,63357.3,64176.8,64460.9,65623.9,65345.0,65544.2,65846.3,66283.8,66455.3"
" ""12000"",""Florida"",5,SQGDP9,1,""..."",""All industry total "",""Millions of chained 2012 dollars"",804997.0,810485.1,824830.4,822710.5,834561.2,837003.8,839043.0,849247.0,844299.4,849761.1,855755.6,850378.4,835076.3,828485.5,814546.1,786172.9,774814.0,766557.9,763621.0,771251.6,766292.5,773469.2,779005.7,781390.4,769089.7,775337.2,768795.4,774862.9,777074.6,775608.8,782108.1,779388.7,789786.3,789901.5,796683.6,802997.2,803195.1,813239.5,822440.7,830058.9,837596.7,849477.1,856691.9,865203.9,866000.7,876557.1,889224.6,894374.5,905422.5,907338.6,913243.8,924744.6,935345.3,936415.6,947056.1,947689.8,957610.1,960872.8,968246.5,975960.5,969585.9,891076.7,966543.8,973451.2,991701.0,1023722.9,1038486.4,1064392.2,1060437.3,1064562.7,1074424.9,1084295.8,1093648.4"
" ""13000"",""Georgia"",5,SQGDP9,1,""..."",""All industry total "",""Millions of chained 2012 dollars"",442968.3,445971.4,447131.5,452540.3,450526.7,451071.0,453474.6,457056.1,450037.1,454087.7,458100.8,461390.3,450430.3,452091.4,447928.8,432608.0,428282.0,428911.5,428320.0,429449.2,429364.0,430871.0,434698.5,439975.3,439716.1,439654.9,441586.3,445549.6,446654.0,448185.3,448784.1,447435.4,453608.2,452996.7,454851.6,458179.3,462157.1,468677.1,473428.0,475776.8,482476.9,488730.0,491353.8,494168.7,502057.8,504413.9,507874.8,512918.2,518703.2,519767.7,524270.8,532479.6,531596.0,536013.1,542275.9,544533.3,549780.5,556686.4,560984.6,562006.2,551028.0,506655.7,544494.2,548285.2,561223.1,575976.2,577786.3,586183.0,588636.2,587662.5,591868.7,596861.8,600345.3"
