GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1
 "11000","District of Columbia",2,SQGDP9,1,"...","All industry total ","Millions of chained 2012 dollars",99279.0,99650.1,99480.5,99513.3,99556.9,99452.7,100836.2,99376.3,100978.7,101307.0,104347.3,104321.6,106420.7,106616.0,107199.9,106838.9,105274.2,106087.9,105820.9,106392.6,108160.9,110049.9,110406.1,111329.3,111235.6,111870.5,112000.0,111479.8,111730.4,112528.2,112416.7,111952.7,112559.6,111913.8,112178.5,112677.9,113984.1,114015.6,114779.9,115434.6,116180.5,117151.9,116762.1,117138.9,119484.1,119775.1,119301.7,120016.2,119357.8,119980.9,122017.8,121680.8,122379.0,123348.0,124775.9,124219.0,123219.3,124251.9,125113.1,125804.6,125559.2,118134.2,122164.7,124082.9,124274.3,126538.3,128234.6,128884.7,129192.4,128908.0,129224.2,129748.1,130211.1
 "11000","District of Columbia",2,SQGDP9,2,"..."," Private industries ","Millions of chained 2012 dollars",63286.4,63564.4,63559.8,63584.5,63991.0,64411.5,65815.4,64589.7,66370.5,66609.6,69148.6,69221.9,70617.1,70727.5,70862.0,70249.9,68154.6,68729.4,67749.4,68003.7,69082.3,70280.5,70885.3,71878.6,71333.4,72026.9,72092.4,72252.1,72336.5,73147.2,73168.2,72811.1,73337.1,72850.9,73648.3,73676.2,74813.4,74832.1,75707.0,76304.9,77299.6,77988.5,77595.4,77875.2,79289.9,79546.8,79110.6,79738.4,78841.5,79631.9,81186.3,81007.7,81145.6,81819.1,83163.0,83104.7,82883.6,83300.2,83972.2,84525.0,84047.6,76299.7,80534.1,81919.3,81977.4,84454.1,86257.7,87429.9,88097.0,88083.1,88968.5,89606.6,89844.2
 "11000","District of Columbia",2,SQGDP9,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of chained 2012 dollars",0.5,0.6,0.7,1.0,0.9,0.9,0.9,0.9,0.3,0.4,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,1.0,0.9,1.0,1.2,1.5,1.6,1.7,1.4,1.3,1.2,1.4,1.6,3.1,3.1,2.7,2.2,1.7,2.1,2.2,2.6,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,SQGDP9,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of chained 2012 dollars",(D),(D),(D),(D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 "11000","District of Columbia",2,SQGDP9,10,"22","   Utilities ","Millions of chained 2012 dollars",1097.1,1089.8,1114.9,1141.4,1008.9,1123.4,1268.2,1169.9,1178.2,1240.4,1241.9,1302.9,1403.8,1337.4,1368.2,1133.1,1199.0,1227.5,1294.4,1553.1,1202.7,1491.7,1483.6,1560.5,1283.7,1338.7,1291.2,1360.6,1161.0,1317.3,1239.4,1136.2,1207.5,1161.0,1073.7,1178.9,1019.3,1086.0,1117.4,1039.8,1060.0,1074.0,1118.0,1100.2,1140.8,1107.7,1100.4,1149.4,1110.2,1113.6,1145.0,1182.2,1271.5,1254.2,1351.2,1151.5,1235.6,1202.4,1214.8,1190.1,(D),(D),(D),(D),1363.0,1356.8,1238.5,1281.3,1375.7,1348.6,1275.8,1303.7,1287.6
 "11000","District of Columbia",2,SQGDP9,11,"23","   Construction ","Millions of chained 2012 dollars",(D),(D),(D),(D),1151.9,1254.4,1138.9,1103.9,1096.6,1089.0,1112.0,1097.3,1149.3,1079.3,1157.9,1156.5,1067.6,1051.7,996.0,942.4,949.3,1009.7,1022.7,1028.2,1032.1,1110.9,1154.3,1212.7,1287.1,1335.3,1394.6,1434.2,1376.1,1390.5,1412.5,1390.3,1387.4,1337.3,1328.0,1364.7,1232.4,1344.5,1291.1,1278.4,1233.2,1240.9,1191.0,1227.2,(D),(D),(D),(D),1366.6,1363.0,1378.3,1416.0,1401.3,1401.7,1428.7,1365.0,1338.1,1226.0,1315.3,1296.7,1283.2,1339.8,1296.4,1263.0,1197.2,1128.0,1074.2,1064.4,1060.3
 "11000","District of Columbia",2,SQGDP9,12,"31-33","   Manufacturing ","Millions of chained 2012 dollars",363.0,356.3,332.8,327.1,312.4,316.9,305.2,328.2,316.6,304.1,317.1,315.5,312.3,312.0,304.4,287.2,298.9,308.9,309.8,297.3,293.1,271.0,265.6,296.1,291.9,341.9,283.1,261.9,240.9,219.2,226.2,225.2,241.1,242.8,230.7,231.4,227.4,211.6,198.8,192.9,210.4,228.0,241.4,237.5,245.3,239.1,246.1,259.5,(D),(D),(D),(D),264.1,259.0,260.0,239.6,244.3,237.7,237.1,251.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,SQGDP9,13,"321,327-339","     Durable goods manufacturing ","Millions of chained 2012 dollars",104.8,104.9,102.2,102.1,98.6,94.5,90.5,91.7,83.9,83.2,80.5,73.6,83.3,78.8,75.4,71.9,78.3,78.5,77.5,73.4,74.0,69.1,66.9,66.8,66.6,68.7,68.3,69.9,67.1,68.1,70.4,74.5,81.5,84.9,87.1,86.8,83.6,83.8,86.5,89.1,95.1,99.6,106.1,111.4,116.4,119.1,122.6,124.0,(D),(D),(D),(D),141.9,141.6,142.8,136.3,129.0,126.9,129.6,132.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,SQGDP9,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of chained 2012 dollars",251.2,242.9,219.6,213.3,202.2,214.2,207.1,231.5,230.2,217.2,235.6,243.7,226.5,232.4,228.8,214.8,218.6,229.2,231.7,223.8,218.6,201.2,198.2,230.0,225.7,274.0,215.0,192.2,173.9,151.0,155.7,150.8,159.7,158.0,143.6,144.6,143.7,127.9,112.5,104.2,115.7,128.7,135.7,126.9,129.7,121.0,124.6,136.3,(D),(D),(D),(D),123.8,119.0,119.0,105.0,116.6,112.2,109.0,120.5,104.7,101.3,108.7,104.0,116.6,117.9,127.9,119.4,118.2,112.9,114.1,115.3,114.1
 "11000","District of Columbia",2,SQGDP9,34,"42","   Wholesale trade ","Millions of chained 2012 dollars",896.5,928.9,931.0,970.4,925.6,936.3,907.1,902.2,942.7,956.1,983.4,981.5,962.8,963.4,1022.6,1010.8,886.5,859.7,869.3,996.1,925.2,1012.1,998.6,1047.8,1018.8,957.3,961.2,1013.5,1013.6,1093.1,1118.1,1124.8,1130.6,1066.6,1103.8,1062.6,1110.3,1124.3,1187.8,1201.1,1235.3,1257.5,1164.4,1120.3,1121.6,1165.8,1202.0,1179.9,1147.4,1195.9,1152.3,1201.9,1181.6,1094.7,1152.0,1137.5,1255.1,1189.7,1270.2,1353.3,1329.7,1300.1,1385.7,1334.9,1424.3,1411.9,1317.2,1296.3,1433.2,1418.7,1419.9,1440.2,1443.3
