GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1
 "16000","Idaho",7,SQGDP9,1,"...","All industry total ","Millions of chained 2012 dollars",54984.0,55851.9,56747.8,56588.4,57675.9,58189.5,57011.7,57577.9,57953.6,58222.4,58687.5,59820.1,59894.2,61054.5,60936.6,59352.5,58216.2,56841.1,57223.9,57030.7,57817.4,57957.1,58504.5,58848.0,58007.0,58146.1,58020.4,58731.4,58172.4,58381.6,58659.2,58082.6,59476.4,60354.2,60923.8,61770.5,61708.3,62213.4,62803.7,63090.7,63501.0,62844.0,63041.2,62938.7,64747.1,65294.9,66049.6,65824.6,65867.6,66775.5,67194.2,67926.6,69917.3,70512.3,71136.1,71863.7,73083.7,73827.2,74667.5,75072.0,75726.1,70182.8,76930.1,77743.0,79045.1,78896.8,79557.9,82875.4,83600.5,83427.5,84114.1,84869.4,85665.7
 "16000","Idaho",7,SQGDP9,2,"..."," Private industries ","Millions of chained 2012 dollars",46640.7,47508.7,48209.2,47866.6,49131.8,49419.0,48548.8,48973.6,49455.7,49619.3,50141.4,51266.9,51277.1,52392.9,52310.1,50719.6,49706.9,48280.4,48752.0,48556.6,49433.2,49630.5,50280.0,50647.3,49976.4,49929.2,49831.5,50645.2,50028.3,50298.0,50435.8,49769.7,51248.9,52192.5,52830.2,53834.0,53780.5,54205.6,54736.1,55127.4,55346.1,54738.1,54776.7,54660.8,56560.7,57113.5,57554.1,57242.3,57441.3,58042.2,58637.1,59140.1,61241.8,61680.7,62331.4,63057.3,64294.6,64945.1,65783.9,66080.8,66637.4,61446.9,68055.0,68836.0,70143.2,69946.1,70655.8,73961.6,74553.0,74358.9,74961.7,75630.6,76389.7
 "16000","Idaho",7,SQGDP9,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of chained 2012 dollars",3362.4,3505.9,3386.4,3246.7,3668.2,3924.5,3626.7,3315.5,3906.6,3621.2,3443.7,3326.8,3358.5,3380.1,3621.3,4002.8,3138.7,3241.0,3613.7,3478.6,3444.0,3615.9,3500.0,3417.6,3513.4,3397.6,3438.6,3670.7,3343.2,3345.0,3563.9,3459.0,3331.7,3704.7,3770.0,3842.7,4006.2,4108.5,4217.8,4303.4,4539.5,4523.0,4481.9,4270.3,4975.1,4873.0,4962.2,5114.1,4230.6,4409.0,4283.3,4200.0,4974.4,4975.8,4742.5,4696.7,5475.5,5349.2,4913.6,4789.2,4941.0,4446.3,5650.2,5152.8,3459.7,3402.3,3388.5,4149.7,4185.3,3860.5,3803.6,3781.9,3888.0
 "16000","Idaho",7,SQGDP9,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of chained 2012 dollars",952.8,1128.2,1372.6,924.9,943.1,994.7,735.4,763.1,772.2,773.3,846.4,910.7,1019.4,1089.9,1051.8,1413.1,1075.8,1035.1,1031.6,1020.7,1347.3,1170.5,1360.0,1379.7,1447.9,1331.8,1280.5,1070.7,815.1,800.1,626.9,681.8,829.8,1068.2,1224.0,1617.7,1662.8,1608.4,1731.0,1584.8,1365.7,979.1,984.5,1052.9,1588.4,1297.3,1274.1,1030.4,763.5,659.8,550.9,504.5,730.0,511.2,601.7,614.1,517.1,534.2,479.4,505.4,607.3,775.1,807.9,828.0,1025.3,881.6,1232.1,1266.5,1193.2,1187.0,1203.7,1260.1,1302.2
 "16000","Idaho",7,SQGDP9,10,"22","   Utilities ","Millions of chained 2012 dollars",695.9,658.6,686.6,629.4,713.5,761.9,725.3,758.7,730.2,755.4,750.3,747.4,774.3,864.7,981.3,816.4,921.6,905.7,871.2,888.1,1239.1,1094.3,1071.6,1078.5,1097.6,1121.6,1179.4,1248.3,1224.5,1291.0,1222.1,1229.2,1266.8,1282.9,1276.8,1274.5,1164.0,1144.1,1178.9,1208.6,1061.1,1153.9,1180.1,1249.0,1161.6,1229.1,1271.2,1275.7,1282.6,1249.6,1235.1,1237.4,1177.0,1232.2,1128.2,1123.7,1131.3,1151.2,1165.2,1215.3,1305.8,1267.2,1239.1,1211.7,1137.4,1195.7,1201.0,1207.4,1198.1,1217.0,1169.5,1165.4,1138.1
 "16000","Idaho",7,SQGDP9,11,"23","   Construction ","Millions of chained 2012 dollars",3641.5,3782.9,3767.6,3870.7,4167.8,4166.9,4072.1,3943.3,4222.1,4276.6,4066.5,4546.3,3801.3,3708.1,3578.5,3257.2,3032.3,2880.3,2880.3,2659.5,2658.4,2565.8,2500.6,2439.8,2368.5,2447.8,2423.8,2441.5,2443.4,2478.2,2555.6,2626.4,2685.2,2781.1,2845.8,2832.5,2799.3,2809.6,2814.9,2851.2,2993.3,2870.6,2772.7,2738.8,2928.6,2851.0,2920.1,2885.8,2959.0,2973.8,2965.0,2995.5,3012.5,2981.3,3011.0,3082.5,3182.2,3192.5,3308.8,3377.7,3428.4,3351.1,3539.3,3592.7,3823.3,3783.0,3723.5,3713.8,3870.5,3645.4,3478.0,3475.6,3513.0
 "16000","Idaho",7,SQGDP9,12,"31-33","   Manufacturing ","Millions of chained 2012 dollars",5597.9,6086.6,6058.2,5847.9,5755.0,5228.9,5168.2,5055.2,5036.9,5159.6,5522.9,5744.1,6012.7,6613.3,6727.1,6356.9,6263.6,5913.3,6417.5,6369.9,6412.7,6474.5,6884.7,7108.7,6803.6,6843.1,6815.2,7061.5,7124.2,7376.8,6878.0,6633.8,6831.1,6880.3,6883.3,7033.4,6948.4,6897.0,6983.4,7405.7,7027.0,6860.3,6746.6,6507.2,7044.9,7229.2,7187.0,6528.0,7091.5,7121.2,7329.0,7488.2,7779.0,7990.1,8155.7,8607.3,8085.7,8294.2,8784.6,8494.4,8686.5,7558.2,8347.5,8484.8,8552.7,8495.8,8446.1,9125.7,8958.8,8814.0,8921.2,8870.3,8714.2
 "16000","Idaho",7,SQGDP9,13,"321,327-339","     Durable goods manufacturing ","Millions of chained 2012 dollars",3607.5,3992.0,3959.4,3769.7,3587.3,3132.8,3030.2,2918.4,2842.1,2942.5,3188.7,3285.6,3530.5,3931.2,4160.7,4021.7,3926.7,3603.6,4051.9,3943.0,4196.1,4201.5,4540.1,4720.8,4411.1,4351.0,4304.1,4398.5,4351.9,4656.2,4358.6,4125.6,4167.4,4249.2,4369.4,4573.1,4591.5,4430.2,4413.1,4844.9,4234.1,4115.6,4024.9,3895.1,4313.5,4673.2,4724.4,4184.9,4468.8,4409.1,4456.0,4516.0,4940.0,5000.4,5024.3,5284.5,4969.8,4980.7,5216.2,4798.3,5145.1,4235.3,4666.6,4840.1,4901.6,4743.3,4715.3,5231.1,5243.8,5237.7,5326.4,5349.7,5242.0
 "16000","Idaho",7,SQGDP9,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of chained 2012 dollars",1826.8,1858.2,1879.0,1910.7,2098.0,2122.6,2206.5,2231.7,2329.3,2333.6,2434.2,2574.9,2555.8,2741.1,2574.4,2323.9,2338.3,2330.9,2372.5,2442.6,2204.3,2263.3,2326.8,2367.1,2383.0,2490.2,2510.8,2665.0,2776.8,2719.2,2518.5,2506.0,2661.1,2631.1,2514.5,2462.6,2361.2,2468.8,2569.5,2565.6,2780.2,2729.5,2703.5,2594.9,2721.8,2572.5,2487.3,2353.5,2625.5,2707.5,2860.9,2956.2,2843.5,2988.1,3124.3,3314.1,3108.4,3297.1,3546.0,3649.1,3522.5,3275.3,3627.4,3599.9,3608.8,3703.0,3682.2,3850.5,3679.5,3549.7,3570.7,3502.2,3452.7
 "16000","Idaho",7,SQGDP9,34,"42","   Wholesale trade ","Millions of chained 2012 dollars",3305.8,3249.7,3254.7,3340.6,3458.7,3384.9,3343.6,3467.4,3451.0,3603.3,3680.0,3643.1,3621.9,3618.7,3549.3,3397.9,3240.2,3049.0,3055.7,3172.7,3138.0,3292.1,3350.6,3287.6,3304.2,3202.0,3199.7,3451.0,3356.4,3419.1,3470.9,3392.9,3506.2,3635.1,3754.2,3795.8,3708.3,3854.4,3962.2,3915.6,4102.4,4025.0,4042.0,4121.1,4325.0,4299.0,4378.3,4426.3,4390.6,4404.0,4485.0,4539.9,4624.5,4582.1,4660.4,4691.2,4772.5,4721.6,4806.0,4874.0,4891.6,4690.6,5239.8,5316.2,5415.4,5560.2,5459.3,5667.4,5547.4,5464.5,5511.2,5667.0,5630.3
