GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1
 "20000","Kansas",4,SQGDP9,1,"...","All industry total ","Millions of chained 2012 dollars",124051.0,124245.1,124798.9,122704.1,129547.7,130473.2,129955.9,131481.3,135248.5,136847.2,137355.1,138923.6,140367.8,141721.8,140231.4,135826.3,133828.8,133545.6,133955.3,135578.5,132421.8,134726.5,137141.9,138602.7,137725.3,140255.3,139850.6,140486.5,146346.1,143701.7,138890.9,138334.0,140120.2,141187.0,141731.4,143854.9,140392.4,144158.9,147706.8,149118.5,146337.4,148746.8,149641.6,150516.3,150695.9,153390.5,154970.0,155724.9,155419.9,155172.6,155336.8,156129.3,157148.5,158346.5,159837.7,159605.0,158640.1,160104.8,160401.7,160158.1,163507.5,149456.2,160314.0,160115.5,159725.7,162553.7,162695.6,164188.6,165266.0,164225.9,164996.9,165268.5,167712.7
 "20000","Kansas",4,SQGDP9,2,"..."," Private industries ","Millions of chained 2012 dollars",105915.3,106118.7,106273.2,103981.8,110860.2,111528.5,111110.7,112460.2,116164.1,117428.8,117816.5,119026.1,120476.5,121742.4,120149.2,116085.5,114208.8,113925.7,114444.2,115893.6,112707.5,114880.3,117510.2,118688.7,118044.5,120185.1,119825.3,120597.2,126466.3,124123.0,119074.4,118709.5,120500.9,121729.1,122374.3,124835.5,121082.4,124902.9,128539.9,130141.4,127376.2,130050.0,130899.8,131982.6,132240.9,134729.9,136177.9,136793.6,136966.6,136125.1,136748.7,137098.1,138523.5,139553.6,141096.5,140984.9,139979.9,141240.6,141313.0,140932.5,144679.5,131233.0,142151.9,141830.3,141251.6,144272.3,144384.7,145773.7,147037.7,146051.1,146785.7,147122.0,149349.9
 "20000","Kansas",4,SQGDP9,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of chained 2012 dollars",5146.1,5255.5,4993.9,4612.4,4300.7,5208.6,4368.4,3072.6,5409.5,4112.4,3693.1,3526.2,5721.0,5119.6,4320.2,3972.3,5955.0,5970.4,6407.3,6712.4,5150.6,6035.2,6671.3,6968.6,6648.8,6035.2,6172.0,6456.4,6480.0,5466.0,4425.0,5245.8,6267.0,7346.7,7209.9,7435.0,4362.2,4766.0,5557.0,6368.8,5241.8,5652.1,5738.6,4466.6,7245.9,6966.3,6954.4,6728.9,5779.1,6138.2,5114.9,5013.8,6560.9,5649.6,6056.5,6177.2,5726.8,6950.6,6598.8,5868.8,8720.7,5181.2,5924.9,7008.7,4923.6,6881.6,6947.7,5710.1,6437.0,6493.9,6617.7,5443.5,7650.6
 "20000","Kansas",4,SQGDP9,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of chained 2012 dollars",1752.1,1800.8,1566.1,1659.8,1899.4,2003.5,1975.5,2058.3,2131.1,2044.1,2063.4,1892.3,1855.9,1822.0,1920.8,2461.4,2490.8,2205.4,2169.7,1994.2,2021.5,2041.0,1946.7,1921.8,1820.9,1919.6,2153.7,2019.0,2174.8,2389.3,2330.5,2315.3,2350.1,2342.6,2288.0,2348.4,2347.0,2423.5,2399.2,2545.3,2620.0,2192.5,2257.5,2057.4,2190.9,1787.5,1787.5,1884.8,1865.7,1956.2,1969.3,1871.4,1737.7,1849.9,1634.4,1613.1,1684.3,1754.0,1890.2,2093.7,2380.0,2355.3,2328.2,2051.4,2088.0,1915.2,1899.3,1800.5,1877.5,1861.7,1926.4,2037.1,2050.2
 "20000","Kansas",4,SQGDP9,10,"22","   Utilities ","Millions of chained 2012 dollars",1869.4,1957.8,1978.4,1906.8,1761.4,1965.1,2108.1,2099.5,2010.4,1995.2,2069.2,2028.5,2154.7,2388.0,2307.4,1980.9,2031.9,2065.1,2226.4,2374.7,2466.6,2379.6,2597.3,2671.6,2587.0,2838.5,3080.1,3004.4,2867.1,2961.6,2890.3,2866.1,3011.7,2924.0,2916.5,2881.5,2622.1,2759.6,2755.6,2771.9,2318.6,2621.5,2530.2,2561.1,2573.7,2678.5,2856.5,2870.2,2752.5,2632.5,2733.2,2542.1,2565.0,2629.5,2514.8,2608.5,2521.9,2442.9,2445.5,2546.9,2427.7,2704.1,2517.9,2526.8,2332.1,2441.2,2395.4,2293.1,2286.7,2344.9,2252.4,2226.4,2192.9
 "20000","Kansas",4,SQGDP9,11,"23","   Construction ","Millions of chained 2012 dollars",5322.0,5299.6,5234.1,4996.7,5107.1,5115.4,4996.5,4819.6,4915.2,4964.9,5127.4,5159.9,4965.6,5098.5,5169.9,5048.2,4786.5,4766.8,4876.6,4687.2,4547.5,4778.7,4910.7,4870.0,4533.7,4609.5,4586.6,4758.0,5104.8,5071.5,4818.5,4841.3,4745.6,4833.6,5082.8,5088.7,5096.9,5120.1,4939.5,4825.0,4854.0,5092.8,4935.3,5027.1,5042.1,4951.9,5020.9,5060.6,5180.3,4881.8,4905.9,4945.9,5036.2,5021.8,5080.4,5162.0,5153.0,5279.9,5102.8,5099.1,4988.6,5042.4,5077.5,5133.1,5194.3,5168.3,5154.8,4852.8,4750.4,4490.0,4252.6,4257.4,4237.4
 "20000","Kansas",4,SQGDP9,12,"31-33","   Manufacturing ","Millions of chained 2012 dollars",18416.8,18776.6,18969.1,18963.6,20695.4,21203.4,21966.6,24136.3,24206.8,24682.3,24799.6,24872.9,23639.3,23857.4,23062.8,20864.5,18412.6,18886.7,18945.9,19811.3,20739.5,21495.4,22206.7,21687.6,23270.9,24458.1,23485.3,22877.3,25703.1,24609.6,21766.7,20341.7,18829.1,19241.7,19314.3,20839.4,19205.7,21124.6,22984.7,23613.3,22279.6,21949.1,23166.8,24017.2,22260.5,23811.5,24461.9,24648.1,23871.4,24448.5,24878.3,25418.3,25786.3,26223.6,26479.4,26149.0,26504.9,26625.6,26292.0,26155.3,26827.3,22573.3,25413.5,25669.1,25684.9,26183.0,26298.8,27389.6,27580.5,27088.4,27317.6,27925.4,27475.3
 "20000","Kansas",4,SQGDP9,13,"321,327-339","     Durable goods manufacturing ","Millions of chained 2012 dollars",9503.0,9601.9,9680.7,9873.4,10677.8,11390.7,12230.4,14257.8,14162.2,14412.9,14432.6,14139.5,14190.7,13951.7,13411.5,11731.1,9843.0,9671.8,9491.5,9911.8,10540.7,11843.4,12823.1,12635.8,12450.6,12746.9,12489.9,13045.5,12660.4,12474.1,11939.6,11189.0,10320.4,10010.2,9855.3,10251.8,10481.2,10917.6,11383.4,11233.1,11651.9,11485.4,11713.1,12002.8,12212.1,12696.8,12997.5,13112.8,12669.5,12915.0,12997.5,13073.6,12830.3,12977.9,13043.7,13231.3,13427.8,13491.8,13485.5,13401.0,13468.8,10784.8,12465.9,12471.1,12512.7,13334.2,13387.8,13942.7,13988.1,13961.1,13948.2,14305.1,14140.2
 "20000","Kansas",4,SQGDP9,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of chained 2012 dollars",9130.7,9426.5,9545.4,9274.6,10242.2,9895.7,9696.4,9585.4,9795.7,10025.1,10136.9,10602.0,9116.1,9672.3,9446.9,9032.9,8590.8,9327.3,9609.6,10060.2,10326.0,9614.8,9257.0,8921.4,10798.4,11719.7,10996.1,9807.3,13056.9,12133.8,9824.4,9142.9,8491.1,9227.7,9465.0,10619.0,8684.6,10208.7,11638.7,12455.4,10606.5,10446.5,11477.6,12057.5,9931.3,11054.6,11411.2,11477.7,11151.1,11492.1,11861.1,12350.0,13003.4,13300.8,13496.9,12945.7,13102.4,13157.4,12803.6,12752.3,13406.4,11943.0,13044.4,13319.7,13286.0,12906.2,12967.7,13505.2,13651.0,13193.5,13429.7,13683.8,13400.6
 "20000","Kansas",4,SQGDP9,34,"42","   Wholesale trade ","Millions of chained 2012 dollars",8394.5,8775.7,8846.2,8890.5,8934.3,8825.7,8797.5,8803.3,8965.4,9211.3,9242.6,9433.1,10029.7,9825.2,9948.2,9548.6,9406.5,9100.0,9093.7,9657.4,9073.9,9590.4,10069.4,9684.5,9318.9,9481.7,9233.1,9685.4,9420.5,9806.9,9638.4,10197.1,9744.7,9806.8,10006.8,10193.4,9911.6,10354.8,10539.6,10441.0,10194.2,10214.6,10248.0,10158.7,9965.7,10109.3,10049.0,10165.6,10358.4,10026.0,10255.2,10182.0,10424.5,10509.9,10226.7,10081.2,10507.9,10154.2,10265.9,10455.6,10044.6,9496.4,10564.2,10441.9,10324.4,10498.5,10251.2,10399.7,10380.1,10180.3,10327.2,10497.3,10486.8
