GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1
 "42000","Pennsylvania",2,SQGDP9,1,"...","All industry total ","Millions of chained 2012 dollars",588074.8,592847.9,598342.4,600155.3,591567.8,595622.2,599524.9,602162.1,605914.8,611075.4,621664.1,630585.2,629858.6,639262.5,632397.6,617712.8,606215.2,605160.1,607545.7,621670.7,616360.6,624928.4,633030.7,636585.5,627642.8,635417.4,638814.6,646581.2,646900.5,649620.0,650691.3,644491.6,651793.4,654649.8,656465.5,660808.0,658669.3,667370.3,674954.4,677578.5,681668.5,682275.1,681854.9,684065.8,685221.1,686226.4,691450.6,690539.4,689260.2,691862.1,698695.6,699648.5,699846.4,702143.7,706537.5,707583.8,709027.9,713563.3,718536.4,719115.1,708225.7,633368.0,687974.9,694260.9,700244.2,708188.4,710466.4,724993.3,723032.4,721324.2,727015.7,732770.1,736260.9
 "42000","Pennsylvania",2,SQGDP9,2,"..."," Private industries ","Millions of chained 2012 dollars",520002.3,523846.3,528162.5,530739.5,522732.6,526445.9,530508.5,533021.6,536896.5,541609.6,551728.1,560867.0,560152.2,569034.9,562278.0,547966.4,537351.9,536105.3,538871.2,551087.5,548159.7,556057.3,564010.6,566504.9,560840.7,567353.7,570642.4,579942.1,580862.9,583887.9,584747.3,578959.3,585319.0,588115.1,590737.0,595096.9,593334.2,602157.9,610033.9,613104.4,617356.9,618054.4,617544.6,618690.7,621679.3,621428.8,624951.2,625533.2,625104.5,627745.4,634134.5,635236.0,636153.1,638113.3,641992.7,643551.2,645324.9,649391.3,654697.7,654783.1,644872.2,572242.5,626820.6,631796.6,639346.4,646990.3,648588.7,662150.0,662155.5,660590.5,666162.2,671523.1,674745.6
 "42000","Pennsylvania",2,SQGDP9,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of chained 2012 dollars",4135.0,4385.3,4765.9,5277.3,4780.9,5106.2,4673.3,4403.7,4231.6,4091.6,3899.2,3592.6,3672.9,3485.0,3537.1,4258.6,3733.4,3841.9,4188.5,3857.1,4062.2,4133.8,3923.9,3689.2,3652.5,3656.4,3705.7,3780.1,4110.1,3805.5,3610.1,3410.4,3596.6,4097.5,4145.6,4282.2,4756.6,4591.8,4880.7,4948.8,4236.9,4380.2,4634.3,4608.8,4286.9,4187.3,4162.5,3853.5,4878.1,4623.7,4507.7,4589.0,4308.8,4532.9,4374.0,4197.8,4617.4,4518.2,4379.1,4790.8,4738.3,2822.9,4428.0,3971.8,4233.0,3613.2,3603.2,4053.9,4160.0,3957.6,3919.2,4017.4,4058.8
 "42000","Pennsylvania",2,SQGDP9,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of chained 2012 dollars",5499.4,5685.4,5006.4,4747.1,5293.8,5182.7,5397.9,5968.5,5960.4,6248.6,6609.6,6174.6,5868.5,5860.1,5904.6,7467.3,8130.0,7598.9,7682.5,7674.7,7340.6,8708.8,9268.4,9914.1,9634.9,10020.6,10743.8,11545.6,12562.1,12596.6,11737.5,10867.8,11179.3,10926.5,11121.0,12061.8,12949.1,14457.8,15645.1,17308.2,17840.2,16190.2,16669.6,16613.5,16966.3,14811.7,14698.5,14049.8,14275.5,15374.7,15542.7,15468.5,14288.0,15186.4,14524.4,14986.1,15238.2,16077.6,16609.4,16431.4,18325.6,17586.5,17347.4,16007.9,16182.1,13661.7,13008.5,12318.5,12353.8,12188.2,12737.8,13352.5,13454.3
 "42000","Pennsylvania",2,SQGDP9,10,"22","   Utilities ","Millions of chained 2012 dollars",10242.6,9762.1,9413.5,9814.1,9346.0,9944.5,10555.9,9549.4,10553.4,10370.7,10285.6,10277.9,10386.4,11047.0,11007.1,9665.8,9708.7,9741.1,10185.4,10470.2,11583.2,11208.6,11330.9,11248.5,11574.4,12041.4,11635.6,12615.2,11734.1,11710.1,11822.9,11828.4,11431.3,11586.9,11275.5,11424.4,11290.7,11011.0,11082.5,10289.2,10916.6,11303.6,11387.8,11118.4,11693.5,11660.6,11941.3,11959.3,11884.4,11435.8,11214.2,10656.7,11186.8,11176.0,10722.6,10697.8,10143.0,10841.9,10641.8,11271.7,10922.0,11296.5,10978.6,10295.0,10472.7,10420.0,10302.0,10034.4,9894.5,10119.4,9769.7,9687.9,9609.2
 "42000","Pennsylvania",2,SQGDP9,11,"23","   Construction ","Millions of chained 2012 dollars",26823.0,26453.6,25830.9,25403.1,26564.1,25588.3,25296.5,24578.0,24655.5,25038.2,25079.8,24788.7,24460.5,24681.3,24318.7,22570.4,20478.4,20001.0,20556.9,20537.7,20829.8,22435.3,22599.9,22650.3,22716.5,23165.0,23165.9,23686.9,23912.3,23006.0,22675.5,23009.1,23185.0,22942.8,23098.3,22691.3,22320.4,23238.0,22814.4,23196.1,22623.3,23152.5,23269.4,23100.7,23333.3,22777.4,22494.0,22732.6,22919.2,23149.3,23354.0,23607.5,23938.0,23505.0,23157.1,23053.3,23576.1,23561.5,23525.1,22932.4,23286.5,17803.3,21528.7,21644.3,22543.4,22833.0,21748.9,20657.5,20907.8,19795.4,18788.3,18531.1,18919.2
 "42000","Pennsylvania",2,SQGDP9,12,"31-33","   Manufacturing ","Millions of chained 2012 dollars",85830.9,84045.9,83019.9,85164.9,86190.5,86407.2,85853.0,87425.5,84958.2,86558.3,87895.4,89255.4,87217.2,88277.3,86125.2,80990.1,76593.2,77036.4,77139.6,79314.8,78134.0,77398.7,78393.0,77682.4,76653.0,76733.1,76071.4,76880.7,76784.7,76361.4,75024.8,74549.8,78215.4,79087.3,80281.1,81981.1,81792.1,85149.1,86300.5,86970.2,86527.6,84382.4,82748.8,81793.2,83055.2,83436.4,82847.1,83608.3,86086.6,86482.8,86752.6,85861.5,85560.6,85012.9,84844.6,86498.3,86675.2,88807.7,91468.8,91965.9,90303.0,78632.3,87397.7,89530.5,88624.6,88708.3,88693.3,92149.2,90932.6,89251.4,89772.7,90858.7,89326.7
 "42000","Pennsylvania",2,SQGDP9,13,"321,327-339","     Durable goods manufacturing ","Millions of chained 2012 dollars",37035.5,37181.6,37606.3,39709.0,39912.3,40378.8,40250.7,40020.6,38590.0,39411.8,40203.0,40318.1,41339.1,42120.6,42057.4,40190.5,36895.2,35296.4,34813.0,35637.7,35598.2,36752.8,38644.5,39021.8,39266.0,40929.6,40929.0,41515.9,40436.5,40491.8,40337.5,40807.0,42356.1,42401.7,42754.5,42736.9,40528.6,41029.0,41562.5,41871.4,41929.1,41640.6,41317.3,40706.5,40098.2,39049.5,38847.3,40654.7,41905.2,42532.5,43429.4,43758.4,43258.6,43047.2,42708.1,42962.7,42872.2,43318.3,43339.6,43196.9,42611.2,35860.4,41324.8,42584.2,42465.3,42670.4,42696.6,44799.1,44033.0,44039.3,43937.9,44780.6,44009.9
 "42000","Pennsylvania",2,SQGDP9,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of chained 2012 dollars",50139.4,47904.4,46179.5,45930.0,46834.4,46481.1,46014.9,48102.4,47135.9,47897.6,48401.2,49795.0,46177.5,46399.5,44132.7,40797.2,39898.2,42182.8,42839.2,44218.1,42997.5,40942.6,39917.3,38778.6,37467.8,35798.9,35127.0,35340.3,36354.9,35861.0,34676.5,33755.3,35861.3,36684.0,37526.7,39240.9,41243.1,44099.6,44713.5,45071.7,44570.1,42720.1,41423.5,41075.9,42928.5,44356.1,43968.8,42923.2,44151.4,43924.9,43307.6,42110.8,42301.6,41968.0,42132.2,43516.4,43775.6,45456.3,48095.0,48738.0,47670.9,42756.4,46041.1,46914.7,46133.5,46019.8,45982.4,47362.3,46898.6,45300.2,45881.0,46158.6,45394.1
 "42000","Pennsylvania",2,SQGDP9,34,"42","   Wholesale trade ","Millions of chained 2012 dollars",37547.6,38246.5,38852.1,39753.6,39083.0,39105.4,39507.7,39918.6,39240.7,40118.6,39880.9,40167.1,40128.4,40258.3,39983.3,38628.9,35735.1,34696.0,34770.2,36492.9,35970.1,37592.8,38704.3,39090.3,38600.1,38300.9,38145.3,40055.5,38903.4,39897.4,40131.1,38821.1,39485.7,39354.3,40004.9,40361.9,41890.3,39373.4,41377.3,41276.9,41663.2,42412.3,41751.1,41560.6,40042.0,40215.1,40755.1,40317.4,40595.9,40117.7,40478.0,40493.8,40576.4,39823.2,40245.5,40193.7,40103.9,39276.1,38774.4,38778.9,39889.5,35648.0,39285.6,39162.1,39559.8,40021.6,39273.2,40123.8,39939.8,39291.0,39902.3,40503.2,40608.1
