GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1
 "44000","Rhode Island",1,SQGDP9,1,"...","All industry total ","Millions of chained 2012 dollars",50513.3,51300.2,51431.3,52233.9,51900.4,53154.0,53709.1,52834.7,52444.6,51521.5,51239.7,50670.4,50997.4,50764.9,50384.8,50153.6,49326.3,49765.6,50275.2,50650.2,50696.0,51267.4,51672.9,51694.9,50477.7,51741.9,51352.1,51546.9,51713.6,51745.5,51631.9,51241.1,52095.8,51619.2,51936.1,51992.3,52074.8,52123.3,52202.0,52773.4,52630.8,52908.6,52652.4,53084.5,52347.2,52769.2,53461.7,53032.4,52294.2,52526.4,53172.0,52774.7,52526.9,52621.5,52347.2,52717.5,53455.3,53389.5,53279.4,53521.5,52990.8,47834.2,52235.6,53003.9,52818.7,54858.9,54877.3,55869.2,55217.8,55294.8,55541.8,55598.9,55608.0
 "44000","Rhode Island",1,SQGDP9,2,"..."," Private industries ","Millions of chained 2012 dollars",42622.3,43344.5,43388.1,44074.5,43967.9,45071.4,45734.1,44695.0,44428.9,43439.8,43292.6,42809.4,43067.4,42858.1,42518.0,42509.1,41799.6,42411.7,42960.4,43279.5,43387.2,43732.2,44321.0,44182.6,43050.9,44239.5,43854.7,44232.4,44278.8,44459.9,44353.4,44067.3,44882.0,44457.9,44794.4,45061.9,45084.8,45123.4,45168.5,45844.8,45703.0,46019.9,45641.4,46156.9,45394.3,45914.7,46608.9,45863.6,45188.8,45296.5,45982.8,45495.0,45364.0,45378.4,45222.1,45665.0,46424.4,46285.2,46125.0,46274.9,45818.2,40945.1,45279.1,46013.1,45868.8,47785.5,47796.2,48848.1,48044.1,48078.7,48299.7,48398.3,48396.9
 "44000","Rhode Island",1,SQGDP9,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of chained 2012 dollars",117.9,127.3,153.7,194.8,169.9,163.2,156.4,163.3,118.7,123.4,123.9,119.1,127.7,123.6,132.3,158.9,152.2,146.6,150.7,126.4,(D),(D),(D),(D),(D),(D),(D),(D),115.7,111.2,103.2,94.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),100.2,89.5,103.4,115.3,92.9,77.9,87.3,95.1,109.0
 "44000","Rhode Island",1,SQGDP9,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of chained 2012 dollars",59.4,58.7,48.5,45.1,46.1,43.1,43.1,46.6,43.8,47.6,47.2,46.4,47.9,47.2,44.3,51.2,51.6,45.2,45.9,40.9,(D),(D),(D),(D),(D),(D),(D),(D),23.2,26.3,25.3,22.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),55.9,56.9,73.4,73.2,67.3,67.4,71.8,79.2,78.8
 "44000","Rhode Island",1,SQGDP9,10,"22","   Utilities ","Millions of chained 2012 dollars",617.3,585.8,596.7,630.2,650.2,639.6,767.9,659.4,659.2,646.6,655.5,680.5,701.4,764.8,766.7,691.6,701.1,688.9,677.9,682.1,753.7,811.4,775.2,714.4,700.0,754.9,778.4,767.5,691.2,729.1,751.3,827.3,836.6,758.4,741.6,713.1,714.4,724.1,761.3,761.3,743.8,773.0,822.7,736.6,787.9,796.1,793.8,811.8,758.0,863.3,777.1,776.1,895.9,802.2,710.5,830.6,827.4,817.4,814.9,829.1,863.9,830.4,918.6,842.1,803.0,876.4,827.8,754.1,824.2,825.7,791.0,788.3,780.7
 "44000","Rhode Island",1,SQGDP9,11,"23","   Construction ","Millions of chained 2012 dollars",2978.3,2988.9,2897.0,2825.2,2822.6,2861.9,2845.2,2768.3,2802.0,2699.0,2643.3,2523.9,2404.3,2393.4,2367.2,2213.2,2112.1,2130.0,2111.6,2096.7,2034.1,2068.2,2052.7,1983.6,1891.1,1929.9,1920.1,1963.4,2041.3,1980.5,1925.2,1876.9,1879.3,1814.7,1810.0,1736.7,1696.5,1730.5,1701.8,1663.5,1607.1,1653.2,1671.2,1677.8,1657.8,1638.7,1640.0,1714.1,(D),(D),(D),(D),1712.8,1735.8,1740.9,1718.8,1797.5,1772.0,1758.5,1745.1,1749.2,1517.9,1632.8,1688.2,1722.9,1761.0,1714.4,1663.4,1696.4,1625.2,1551.5,1579.3,1571.3
 "44000","Rhode Island",1,SQGDP9,12,"31-33","   Manufacturing ","Millions of chained 2012 dollars",4550.5,4419.0,4484.8,4649.0,5091.7,5273.3,5165.4,4962.0,4900.7,4374.1,4280.1,4430.7,4396.6,4624.8,4608.9,4352.7,3876.4,3933.9,4028.2,4092.7,4118.1,4126.7,4334.3,4154.4,4170.4,4133.1,3963.0,4075.7,4027.9,4040.7,3985.3,4043.3,4373.0,4362.4,4440.5,4396.5,4186.8,4185.4,4200.2,4369.6,4431.3,4695.0,4680.9,4742.5,4808.7,4664.5,4622.7,4560.9,4548.9,4544.8,4524.0,4577.8,4627.2,4674.4,4632.5,4536.2,4504.3,4450.4,4490.1,4463.8,4401.5,4028.6,4485.8,4538.4,4528.4,4734.3,4697.8,4955.3,4769.6,4697.9,4687.9,4701.3,4631.4
 "44000","Rhode Island",1,SQGDP9,13,"321,327-339","     Durable goods manufacturing ","Millions of chained 2012 dollars",3108.4,2995.9,2976.1,3003.0,3116.8,3190.0,3164.7,3051.2,3212.4,2915.0,2914.7,2940.7,2953.3,3089.0,3108.3,2973.2,2597.6,2623.0,2683.4,2682.1,2689.0,2687.9,2905.2,2765.9,2807.2,2777.3,2665.6,2675.7,2662.9,2686.9,2607.6,2695.9,2841.3,2803.8,2839.4,2832.5,2604.4,2602.6,2622.1,2744.8,2783.9,2872.9,2996.8,3129.3,3238.6,3158.8,3135.4,3047.2,2962.2,2862.3,2839.1,2835.3,2924.1,2956.4,3022.1,3032.3,3069.9,3089.8,3074.4,3018.1,2850.8,2497.6,2829.7,2913.9,2958.6,3166.8,3127.8,3340.7,3218.1,3212.2,3206.0,3235.3,3162.4
 "44000","Rhode Island",1,SQGDP9,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of chained 2012 dollars",1419.2,1408.1,1513.2,1672.9,2050.9,2171.6,2078.1,1983.2,1704.1,1461.4,1351.8,1496.5,1438.9,1535.0,1493.9,1368.1,1276.0,1310.2,1344.8,1414.0,1433.0,1443.3,1426.9,1388.2,1361.6,1354.9,1296.5,1401.0,1365.0,1353.1,1377.2,1348.6,1531.0,1557.8,1600.7,1563.8,1580.6,1580.9,1576.1,1622.8,1644.8,1816.3,1684.9,1619.4,1579.6,1515.7,1497.4,1520.9,1589.3,1679.7,1681.6,1736.5,1701.0,1715.9,1614.0,1512.0,1446.0,1375.6,1428.6,1456.9,1554.0,1527.3,1655.1,1626.5,1575.6,1580.7,1581.7,1632.2,1568.9,1510.3,1506.5,1494.2,1492.3
 "44000","Rhode Island",1,SQGDP9,34,"42","   Wholesale trade ","Millions of chained 2012 dollars",2780.5,2808.9,2770.2,2854.3,2724.2,2787.9,2789.2,2779.1,2873.3,2809.3,2807.5,2828.9,2809.6,2829.5,2725.6,2718.0,2507.8,2505.0,2512.9,2665.3,2747.6,2747.6,2866.9,2769.7,2791.3,2736.7,2792.6,2964.1,2940.6,3030.1,2997.2,2918.1,3093.6,3022.7,3034.9,3059.0,3049.4,3063.8,3186.2,3161.3,3229.5,3339.3,3255.2,3172.9,3126.6,3126.4,3107.2,3100.4,3052.3,3061.9,3087.3,3071.4,3040.9,3016.1,3052.1,2974.2,2992.6,2980.6,2960.3,2948.9,2848.1,2606.4,2931.9,3061.9,3017.8,3075.1,3011.9,3181.7,3171.6,3125.3,3138.0,3181.1,3209.4
