GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1
 "56000","Wyoming",7,SQGDP9,1,"...","All industry total ","Millions of chained 2012 dollars",33407.1,34028.5,33065.6,33434.8,35812.4,37271.1,38626.6,39543.7,40073.4,40549.5,40652.2,41253.9,41601.8,41808.4,42409.8,45652.8,45030.2,41896.7,40378.4,38880.3,39445.9,40063.2,40517.5,40200.0,39567.3,39644.0,39565.5,40295.0,39489.8,39508.9,38339.9,38083.1,39059.0,38544.0,38692.7,39102.6,38787.7,39313.5,39804.0,40332.5,41067.7,39970.4,40523.4,40111.1,39924.7,38295.4,37562.0,36972.8,37162.5,37796.7,37545.3,37582.1,37913.4,38072.0,38114.5,38220.6,38041.9,38095.1,38724.8,38924.8,38411.0,34787.3,36185.8,35690.3,36417.6,36362.8,36354.5,36465.2,36341.1,35899.8,36369.9,36773.4,37005.2
 "56000","Wyoming",7,SQGDP9,2,"..."," Private industries ","Millions of chained 2012 dollars",28697.8,29416.9,28453.8,28742.2,31133.7,32549.8,33829.0,34645.2,35093.9,35462.9,35550.1,36054.4,36317.7,36466.6,37036.5,40289.6,39662.6,36472.6,34965.6,33514.8,33913.5,34611.5,35103.6,34891.5,34116.4,34242.2,34227.9,34825.1,33999.2,33979.7,32792.6,32503.4,33405.5,32832.2,33035.3,33417.9,33069.4,33623.0,34164.4,34739.3,35481.6,34403.6,34888.8,34595.7,34269.4,32714.9,32008.1,31422.7,31530.2,32153.1,31913.9,31955.4,32388.0,32496.1,32549.3,32775.0,32622.5,32700.5,33336.6,33476.0,32986.1,29466.5,30837.4,30287.0,30987.7,31008.4,30941.5,31161.3,31002.8,30582.0,31027.3,31406.5,31625.7
 "56000","Wyoming",7,SQGDP9,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of chained 2012 dollars",626.1,675.5,660.1,615.8,647.2,733.0,701.2,627.6,490.9,461.0,452.3,357.9,665.0,571.2,482.5,459.3,719.1,661.9,707.9,672.1,656.6,728.6,740.6,697.4,831.2,731.6,765.9,937.4,600.9,533.7,555.0,555.3,640.4,724.8,696.6,723.2,710.1,758.5,843.1,886.9,943.1,903.0,909.3,808.5,1011.4,984.7,953.6,852.7,(D),(D),(D),(D),1007.0,1019.7,893.5,895.2,841.0,909.6,959.2,1095.9,(D),(D),(D),(D),798.4,610.9,581.5,633.3,509.1,421.5,475.3,488.9,616.5
 "56000","Wyoming",7,SQGDP9,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of chained 2012 dollars",10506.3,11344.6,10178.6,10430.1,12038.9,12800.0,13677.6,14194.5,14197.6,13905.4,13454.7,13088.7,12568.6,12643.4,13148.8,17164.9,17464.9,15049.5,13876.9,12762.7,12492.8,12906.0,12970.0,12832.5,12303.6,12333.5,12146.1,12135.2,10945.5,10599.1,9714.5,9523.6,9999.6,10004.9,10364.9,10629.2,10210.1,10401.7,10567.5,10974.7,11282.7,9959.6,10458.3,10777.2,11106.6,9416.5,8863.1,8508.4,8425.4,9113.6,9303.8,9182.5,8645.1,8774.4,8670.8,8549.3,8721.2,8571.2,8651.5,8998.3,9266.2,8467.1,7619.8,7236.5,7088.5,6970.6,7167.7,6947.4,6403.0,6326.4,6638.4,6917.1,6820.9
 "56000","Wyoming",7,SQGDP9,10,"22","   Utilities ","Millions of chained 2012 dollars",623.0,619.6,683.8,607.2,654.1,725.2,607.1,697.4,650.7,706.7,719.5,770.5,708.2,776.2,814.5,769.9,712.1,756.5,778.6,807.5,875.3,872.0,868.0,901.1,865.0,917.7,952.5,936.6,943.7,967.7,987.1,959.5,965.1,950.7,956.5,957.6,886.0,875.1,891.8,888.5,839.8,878.8,936.4,946.6,951.7,947.9,1032.4,993.2,993.7,1014.8,827.8,933.8,875.8,926.3,874.9,871.5,848.3,889.0,837.1,936.3,(D),(D),(D),(D),857.5,846.5,824.3,756.6,810.2,812.6,769.6,740.0,732.2
 "56000","Wyoming",7,SQGDP9,11,"23","   Construction ","Millions of chained 2012 dollars",1694.6,1687.3,1707.0,1698.8,1832.9,1897.4,1898.8,1929.7,2018.7,2080.0,2165.8,2236.4,2497.0,2236.1,2355.7,2244.0,2114.1,2053.8,2071.1,1894.8,2022.6,2026.9,2028.8,2002.7,1859.8,1813.4,1914.2,1976.3,1979.3,2143.0,2036.0,1990.0,2066.5,1976.0,1963.8,2096.8,2087.6,2129.9,2094.7,1998.1,2031.9,1917.6,1901.8,1799.1,1796.3,1723.3,1634.8,1561.6,1541.5,1524.9,1466.8,1459.8,1464.0,1496.5,1518.8,1610.9,1690.1,1678.6,1772.4,1749.1,1676.6,1553.2,1587.8,1543.7,1527.5,1638.9,1596.9,1544.4,1479.0,1389.4,1311.6,1308.7,1340.9
 "56000","Wyoming",7,SQGDP9,12,"31-33","   Manufacturing ","Millions of chained 2012 dollars",2238.8,2174.8,2162.8,2274.4,2285.4,2460.5,2563.1,2930.9,3119.1,3419.5,3818.6,4323.0,4684.3,4954.0,4633.9,3906.5,2816.6,2319.1,2000.0,1968.5,2249.4,2297.0,2276.4,2262.4,2155.7,2139.0,2267.7,2310.1,2522.7,2591.5,2499.7,2437.1,2264.5,2099.4,1964.1,1814.8,1765.2,1782.8,1876.2,2095.1,2450.6,2601.6,2723.5,2546.5,2344.3,2116.0,2035.7,2025.8,(D),(D),(D),(D),2630.1,2682.6,2793.5,2941.9,3121.0,3229.8,3293.5,3257.1,2932.3,2494.3,2673.2,2544.9,2663.1,2831.7,2759.8,2826.0,3147.1,3056.2,3002.8,3010.9,2984.0
 "56000","Wyoming",7,SQGDP9,13,"321,327-339","     Durable goods manufacturing ","Millions of chained 2012 dollars",337.2,337.3,327.7,337.2,337.6,345.5,346.7,353.4,361.6,384.6,396.0,411.0,413.2,429.3,444.9,450.1,400.3,374.9,373.3,363.1,366.0,369.7,398.4,407.4,415.3,424.1,428.8,450.3,465.0,457.0,433.3,425.5,435.1,423.4,412.1,405.9,425.9,438.4,448.0,458.8,466.0,467.7,470.2,435.5,415.8,384.9,381.9,402.9,(D),(D),(D),(D),455.3,437.1,431.8,457.6,471.4,471.7,490.1,491.3,458.5,426.5,475.2,463.8,443.7,503.1,468.7,457.7,471.2,463.6,462.9,478.4,476.9
 "56000","Wyoming",7,SQGDP9,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of chained 2012 dollars",1955.7,1884.5,1886.4,1995.1,2007.2,2187.0,2296.6,2684.9,2876.6,3168.9,3581.5,4103.4,4489.1,4759.0,4395.4,3602.8,2482.7,1968.7,1611.2,1592.7,1900.3,1946.4,1883.9,1858.1,1739.3,1713.4,1838.4,1859.5,2057.4,2134.3,2066.4,2012.1,1829.0,1673.7,1547.4,1400.5,1325.8,1329.3,1414.6,1628.5,1990.2,2146.7,2273.1,2133.2,1945.1,1742.6,1658.9,1615.2,(D),(D),(D),(D),2197.1,2274.5,2397.4,2521.4,2692.9,2809.4,2854.0,2815.3,2510.8,2070.9,2187.9,2064.5,2227.8,2328.0,2296.4,2377.5,2690.3,2606.2,2552.8,2544.5,2518.8
 "56000","Wyoming",7,SQGDP9,34,"42","   Wholesale trade ","Millions of chained 2012 dollars",1154.9,1193.5,1203.6,1234.4,1295.6,1326.1,1352.8,1412.3,1425.6,1463.4,1472.9,1441.4,1570.7,1563.8,1576.1,1528.4,1409.5,1317.6,1287.2,1277.2,1329.0,1370.8,1422.8,1410.4,1403.6,1410.6,1386.8,1440.4,1576.6,1607.6,1567.3,1525.3,1622.2,1612.8,1631.6,1637.8,1612.4,1713.5,1773.1,1958.7,1701.0,1659.6,1650.7,1612.5,1532.7,1483.1,1412.8,1403.5,1305.0,1357.4,1408.6,1384.3,1341.7,1316.1,1338.7,1376.9,1346.7,1326.0,1313.1,1320.6,1335.0,1182.1,1194.7,1170.8,1207.2,1202.8,1187.0,1171.1,1217.1,1179.7,1196.1,1195.2,1187.4
