GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1
 "19000","Iowa",4,SQGDP9,1,"...","All industry total ","Millions of chained 2012 dollars",144118.8,144576.1,145571.2,144043.0,145802.3,146800.9,145883.4,147734.8,150013.6,153268.3,153783.2,154382.1,153042.0,152250.4,149299.1,144934.1,143995.3,144840.9,146888.2,149006.8,148155.9,150138.9,150711.8,151587.2,150024.1,150914.7,152095.5,156706.6,158196.8,160271.9,159424.2,156260.6,157953.8,156976.2,158754.6,160238.6,161833.6,166714.0,168976.1,168953.1,170548.1,170919.9,171492.5,171545.5,170765.2,169126.9,170998.7,170665.6,170477.2,171037.0,170036.8,171998.9,173235.8,174084.1,173694.9,173176.1,170447.3,171741.9,175301.6,177397.1,173979.9,159659.9,172700.1,177489.6,184430.3,182618.1,175641.3,176322.1,177421.2,177060.3,177199.1,176679.4,178947.6
 "19000","Iowa",4,SQGDP9,2,"..."," Private industries ","Millions of chained 2012 dollars",127213.7,127396.3,128376.4,126809.1,128627.5,129554.0,128578.1,130583.2,132925.3,136082.7,136559.8,137106.6,135638.8,134802.8,131681.6,127410.0,126111.4,126875.1,128900.3,130850.2,130007.6,132069.0,132433.4,133513.2,132084.2,133126.8,134055.8,138647.9,140307.2,142162.3,141333.9,138243.3,140001.3,138966.0,140748.7,142183.2,143644.7,148414.7,150699.5,150635.5,152245.5,152548.1,153158.0,153004.1,151984.3,150279.7,152000.5,151695.9,151530.4,152149.2,150976.6,152917.3,154210.6,154929.0,154530.8,154139.4,151573.7,152737.3,156333.5,158282.7,154774.4,141318.6,154073.3,158611.7,166040.8,164074.1,156856.4,157584.5,158730.1,158383.2,158440.2,157844.2,160003.2
 "19000","Iowa",4,SQGDP9,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of chained 2012 dollars",7948.3,8136.7,7640.1,7178.9,7906.7,8593.6,8067.9,7830.2,8469.5,8163.8,7729.2,8161.8,9808.3,9504.1,8977.6,9520.5,8890.6,9209.0,10098.8,10285.5,8343.5,8953.7,9129.8,8748.3,11422.0,10472.4,10540.3,11374.1,10354.2,11084.7,10185.7,10258.7,11607.4,12599.1,12834.8,12755.5,11519.3,12158.6,12085.0,11846.9,11148.5,11440.0,11912.1,12064.8,11964.3,12107.6,11723.0,10278.6,11872.1,12470.9,11374.1,11203.9,13569.6,13110.5,12283.0,12069.2,8053.0,10241.5,12812.8,16135.0,11561.2,5524.6,9007.0,14586.4,19587.4,16216.7,8564.2,5445.8,6428.8,6899.8,6730.5,5767.9,7647.8
 "19000","Iowa",4,SQGDP9,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of chained 2012 dollars",545.6,567.9,509.5,504.7,538.3,559.6,530.1,501.3,564.0,464.2,447.3,445.2,479.9,475.6,463.4,489.6,411.9,375.5,354.9,300.4,301.1,355.3,357.0,348.9,288.8,296.6,293.0,317.4,337.8,352.4,342.7,336.0,340.7,326.8,343.6,369.8,373.7,398.0,403.8,413.0,420.3,412.2,412.5,402.3,395.7,354.0,355.9,363.3,419.5,467.7,487.0,498.0,466.6,474.1,485.1,508.8,549.5,569.5,587.4,554.2,573.8,564.0,542.5,547.9,561.0,613.6,701.6,755.6,723.1,685.9,700.0,755.3,751.8
 "19000","Iowa",4,SQGDP9,10,"22","   Utilities ","Millions of chained 2012 dollars",2453.4,2367.5,2415.3,2424.9,2486.0,2773.0,2673.3,2648.3,2859.6,2774.9,2662.7,2614.1,3217.6,3590.8,3509.1,2994.3,2906.8,3065.4,2902.9,3198.7,2755.1,3031.4,3009.7,3124.6,2352.9,2623.0,2624.8,2732.4,2736.5,2681.3,2808.1,2983.3,2856.7,2833.5,2810.5,2563.7,2718.8,2600.2,2734.2,2558.3,2492.2,2552.8,2781.4,2697.9,2791.5,2805.2,2985.4,3093.6,2795.4,3041.7,2714.5,2900.2,2756.2,2973.0,2740.2,2882.3,2866.4,3023.9,2791.2,2960.5,3210.8,3114.0,3216.1,2946.3,2923.6,2951.6,2866.3,2771.3,2885.7,2904.1,2780.5,2776.1,2749.5
 "19000","Iowa",4,SQGDP9,11,"23","   Construction ","Millions of chained 2012 dollars",6253.3,6219.1,6197.0,6014.9,6380.5,6145.1,5916.8,5781.6,5916.4,5910.9,5912.8,5857.1,5607.2,5709.4,6134.5,5793.7,5643.2,5535.7,5624.6,5382.3,5372.8,5478.4,5257.8,5424.0,5282.7,5498.9,5726.0,5775.3,5812.8,5916.8,5807.6,5946.9,5897.4,5844.1,6147.6,6084.4,6043.9,6352.3,6403.8,6600.1,6807.3,6702.1,6547.5,6587.7,7015.0,7014.4,7105.6,6996.7,6896.0,6395.2,6256.2,6449.6,6507.2,6460.7,6524.2,6471.8,6335.4,6393.8,6487.4,6371.5,6319.7,6146.4,6160.4,6380.3,6280.5,6447.7,6281.6,6144.2,6111.8,5770.4,5458.3,5487.5,5626.3
 "19000","Iowa",4,SQGDP9,12,"31-33","   Manufacturing ","Millions of chained 2012 dollars",27894.3,27835.6,27658.6,27982.3,30134.9,30153.1,29728.9,29838.2,29242.6,29458.5,30275.3,31128.7,30224.4,30853.4,30109.6,28772.3,25018.3,25208.1,26241.4,27576.2,27533.6,28361.4,28454.3,27888.8,26792.0,26947.7,26994.3,28291.1,29656.1,30362.0,29693.8,28562.8,29123.6,28588.1,28665.5,29208.1,30227.7,31726.3,32433.1,32714.8,32723.9,32084.2,31352.8,29929.6,29107.6,27097.1,27193.5,27034.2,27885.7,28961.7,29756.9,30503.8,30211.5,30634.4,30865.1,31271.0,30234.5,30266.1,31478.4,30671.9,31598.7,27825.5,31343.7,31595.9,32723.6,32302.1,31974.9,33678.5,33831.1,33311.4,33400.4,33703.7,33358.1
 "19000","Iowa",4,SQGDP9,13,"321,327-339","     Durable goods manufacturing ","Millions of chained 2012 dollars",14321.9,14640.9,14680.5,14994.0,15350.3,15459.5,15193.2,15243.4,15001.4,15149.6,15530.8,15504.9,15428.3,15115.1,14845.9,13557.8,12175.2,11493.8,11724.5,12205.7,13173.6,13962.5,14543.2,13964.2,13045.4,13166.9,13636.3,15556.4,16907.6,18420.7,18388.7,17207.2,15932.1,14711.0,14501.9,15176.3,16745.4,17908.5,18658.8,18465.9,18067.6,17603.1,16858.8,15968.6,15088.3,13968.2,14033.1,13999.6,15120.1,15663.0,16365.3,16758.0,16243.5,16410.1,16761.4,17141.8,17098.3,17148.6,17576.9,16820.9,18350.3,15140.9,17443.7,17413.2,18873.4,18382.4,18233.3,19200.0,19876.0,19861.5,19858.9,20200.7,19949.0
 "19000","Iowa",4,SQGDP9,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of chained 2012 dollars",13446.1,12966.8,12714.1,12684.2,14677.4,14561.1,14418.4,14479.3,14109.6,14166.3,14608.7,15612.2,14690.4,15776.7,15288.2,15321.1,12896.1,13845.8,14676.0,15547.5,14453.9,14465.5,13942.5,13967.3,13801.2,13832.7,13399.2,12747.4,12750.7,11927.5,11308.8,11363.7,13182.5,13885.4,14186.7,14052.0,13495.5,13825.0,13779.8,14251.6,14662.8,14488.5,14496.6,13961.2,14010.7,13119.5,13150.9,13025.2,12774.0,13305.2,13401.7,13756.5,13972.6,14230.1,14112.1,14139.8,13146.6,13128.2,13912.8,13857.9,13280.9,12682.1,13903.2,14187.1,13868.0,13935.3,13759.8,14498.5,14004.5,13522.9,13609.4,13585.1,13486.3
 "19000","Iowa",4,SQGDP9,34,"42","   Wholesale trade ","Millions of chained 2012 dollars",8336.2,8321.2,8469.9,8618.7,8553.2,8554.4,8514.8,8507.2,8537.5,8916.8,9048.1,9213.0,9661.8,9714.4,9735.7,9519.5,9094.8,8809.5,8887.9,9185.9,9103.6,9428.2,9662.9,9530.0,9505.2,9374.3,9412.0,10095.1,10105.3,10323.3,10264.3,9995.5,10448.6,10217.9,10358.9,10393.1,10195.2,10461.0,10714.4,10694.7,10249.7,10462.1,10537.4,10506.5,10237.2,10523.0,10528.9,10488.9,10614.8,10323.4,10371.5,10419.4,10548.7,10281.2,10316.1,10298.5,9986.6,9841.5,10046.6,10097.4,10120.6,9772.5,10612.6,10482.4,10532.9,10588.5,10360.9,10608.3,10627.1,10359.9,10554.8,10628.9,10626.3
