GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1
 "18000","Indiana",3,SQGDP9,1,"...","All industry total ","Millions of chained 2012 dollars",287211.6,290265.2,291820.0,292015.9,294718.5,295480.8,296252.6,297999.0,298025.7,303170.3,305942.1,309204.7,307348.6,306737.9,300460.9,289302.8,276448.6,275936.5,278538.7,287159.2,291395.3,296966.3,300583.1,301124.7,298315.5,298568.5,297912.8,301461.4,301597.1,302312.8,300952.2,297193.4,307595.9,304667.8,307995.2,308857.7,312831.5,317865.2,319484.1,316951.4,312883.7,314704.3,313221.5,314195.2,315453.4,318480.5,321320.7,323151.4,322081.2,323505.8,324918.9,329484.6,334624.8,335816.6,337396.6,337470.2,335743.9,337162.6,339127.0,339575.3,336332.9,302558.9,333913.0,336306.7,341620.8,346166.2,345596.3,351580.2,355006.7,352022.4,351779.7,353015.0,353880.1
 "18000","Indiana",3,SQGDP9,2,"..."," Private industries ","Millions of chained 2012 dollars",258787.7,260729.3,261977.7,261168.8,261972.0,261760.2,262488.7,265294.8,267411.6,273874.4,277313.3,280702.7,277875.4,276953.6,270306.9,259471.1,246858.4,246375.3,249021.0,257573.5,262163.7,267643.2,272086.6,271945.5,270347.5,269560.5,268827.8,272813.8,272916.1,274095.8,272797.6,269539.0,280528.7,277972.5,281141.2,281599.1,284774.4,289188.1,290708.1,287980.5,284812.3,286341.5,284474.5,285707.1,286755.0,289539.2,292175.7,293957.3,292507.2,293792.7,294936.1,298976.8,304446.1,305154.3,306808.2,307068.5,305701.4,307072.3,308777.6,308810.3,305320.1,272809.4,303454.0,306221.2,311904.1,316256.2,315690.8,321256.1,324879.0,322044.0,321779.7,323216.3,323702.3
 "18000","Indiana",3,SQGDP9,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of chained 2012 dollars",3028.5,3280.4,3362.3,3587.6,4206.5,3996.4,3623.8,3920.6,4017.1,3788.1,3697.1,4078.7,5094.1,4964.3,4505.5,5019.7,4260.2,4443.3,5247.6,5729.8,4532.4,4419.1,4416.0,4350.5,5125.7,4571.5,4907.5,4585.9,4145.8,4663.9,4128.9,3472.9,7451.9,7314.5,6734.1,6737.5,5528.4,5935.2,5514.7,5846.7,4216.7,4405.4,4848.8,5318.9,5717.4,5732.8,5418.7,4938.7,6102.0,5183.1,4838.3,4868.6,4579.6,5350.1,6062.4,6291.8,3884.1,4037.2,5061.2,4359.0,(D),(D),(D),(D),5224.0,6798.5,7114.5,6228.0,7089.1,7515.9,7262.0,6715.8,7922.1
 "18000","Indiana",3,SQGDP9,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of chained 2012 dollars",1832.1,1855.5,1541.1,1476.9,1641.3,1648.0,1637.2,1691.4,1725.9,1678.0,1732.0,1623.1,1510.4,1462.1,1435.1,1714.5,1672.7,1675.3,1584.2,1594.7,1512.3,1648.6,1706.4,1706.6,1637.0,1672.9,1684.4,1711.0,1751.1,1705.0,1665.6,1616.8,1941.5,1847.2,1877.7,1966.7,1874.0,1850.8,1761.8,1709.7,1691.7,1591.9,1713.8,1750.3,1846.5,1633.4,1587.8,1546.1,1596.7,1711.3,1753.0,1837.1,1678.9,1649.9,1548.0,1450.5,1412.5,1354.9,1266.2,1268.0,(D),(D),(D),(D),918.7,855.4,931.9,938.5,959.3,935.2,973.4,1010.1,1024.0
 "18000","Indiana",3,SQGDP9,10,"22","   Utilities ","Millions of chained 2012 dollars",4637.5,4661.3,4917.0,5081.9,4643.1,5462.7,5159.5,4979.1,4680.2,4838.6,4971.3,4945.2,5110.0,5540.1,5526.4,4864.8,4981.7,4931.9,5112.1,5408.5,5585.7,5775.0,6214.6,6076.4,5684.6,6263.5,6043.2,6462.5,6185.0,6387.5,6583.2,6334.1,6531.2,6333.4,6342.8,6279.3,6295.0,6120.2,6079.6,5982.1,5627.7,5839.3,5975.8,6086.3,5959.1,6159.9,6454.8,6494.4,6176.7,5994.9,6022.2,6013.7,6006.8,6036.9,5787.7,5887.7,5867.3,6157.2,5937.0,6278.7,6032.0,6123.5,6082.3,6101.9,5596.3,6077.6,6107.3,5877.5,5764.3,5881.7,5685.9,5628.0,5565.7
 "18000","Indiana",3,SQGDP9,11,"23","   Construction ","Millions of chained 2012 dollars",13947.0,13769.9,13402.1,13349.3,13206.1,12681.7,12500.1,12440.4,12539.3,13028.1,12803.0,12552.1,12048.1,12006.3,12125.4,11541.3,10369.5,10135.5,10034.0,9552.6,9470.1,10035.7,10102.5,9974.4,9842.5,10428.3,10932.5,11339.6,11751.9,12079.0,12042.3,11890.9,12064.6,11535.0,11220.8,11064.2,10751.5,10873.6,10814.0,10888.9,10531.4,10979.9,11038.1,11084.1,11178.2,11302.1,11304.7,11769.8,12118.8,12038.2,12163.7,12403.9,12389.4,12377.7,12542.3,12555.3,12772.6,12712.8,12717.2,12763.6,12790.0,11986.3,12612.3,13004.2,13364.2,13051.7,12901.7,12431.7,12542.7,11860.0,11238.6,11275.8,11223.7
 "18000","Indiana",3,SQGDP9,12,"31-33","   Manufacturing ","Millions of chained 2012 dollars",80396.7,79677.7,78997.9,79251.8,78873.5,77490.1,79890.1,82231.8,85759.5,90699.6,93765.9,96460.6,94775.6,94232.2,88983.1,82811.7,72107.3,71753.7,73858.7,79939.9,85402.4,87655.6,90565.9,89433.0,89274.8,86942.6,84466.7,85701.0,84110.6,83219.9,81872.4,82029.2,86977.0,87077.1,89378.6,88965.2,90850.1,92600.8,92268.3,89639.7,87147.2,87246.3,84631.1,84080.8,86494.8,87362.0,88529.9,88329.7,86388.3,88264.1,87581.2,89989.5,92539.1,92340.9,92274.3,91929.2,91841.6,92399.6,92163.3,92083.9,91523.8,76342.8,90311.7,90883.1,95213.4,95579.0,93768.2,96298.2,98473.9,95154.7,94176.1,94856.0,93172.8
 "18000","Indiana",3,SQGDP9,13,"321,327-339","     Durable goods manufacturing ","Millions of chained 2012 dollars",42267.5,42141.0,41705.7,42839.9,42232.3,42096.7,42528.3,43392.7,45256.6,47229.8,48657.6,48302.1,46716.9,45963.3,43054.0,39123.9,30784.8,29346.2,31187.0,35452.2,39803.0,45386.4,48550.5,47751.3,46836.6,44563.8,43539.9,44420.8,45683.1,45817.2,45563.4,46547.6,47214.9,47151.6,47857.1,47866.5,46818.6,47772.8,48757.4,48487.3,49245.8,51214.6,50023.6,50439.9,51196.1,51367.8,51580.8,51577.9,51686.4,51035.9,51949.5,52568.3,54624.4,54189.2,54387.0,54601.1,54634.9,55374.2,54709.2,54215.6,54163.6,42385.1,53401.5,54964.0,58564.5,60637.9,59329.1,61164.2,64713.9,62625.0,61974.5,62546.5,61039.2
 "18000","Indiana",3,SQGDP9,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of chained 2012 dollars",37258.4,36542.5,36347.2,35011.2,35431.5,33960.0,36228.6,37838.3,39469.5,42635.9,44302.8,48005.1,48149.8,48508.5,46254.2,44227.8,42547.5,43913.6,44047.2,45659.5,46460.3,42290.5,41785.9,41530.2,42435.3,42488.0,41039.7,41384.4,38439.4,37386.3,36293.2,35501.9,39745.4,39924.3,41537.7,41115.5,44044.6,44839.2,43517.2,41156.3,37870.7,35973.9,34553.2,33586.0,35244.3,35941.3,36901.6,36700.4,34641.1,37186.4,35580.5,37356.8,37862.4,38089.1,37829.9,37281.7,37161.1,36984.9,37406.9,37815.3,37314.0,33882.5,36851.3,35895.4,36699.6,35172.0,34660.4,35399.8,34364.3,33130.6,32795.1,32930.2,32667.5
 "18000","Indiana",3,SQGDP9,34,"42","   Wholesale trade ","Millions of chained 2012 dollars",16709.0,16806.6,16907.4,17215.1,17268.7,17269.0,17093.2,17065.6,16917.5,17376.3,17504.3,18071.9,17960.3,18085.6,18001.1,17111.4,15857.2,15174.6,15062.7,15621.2,15828.4,16385.3,16850.6,16573.0,16803.5,16600.0,16713.0,17579.0,17126.9,17660.5,17547.9,17188.5,17649.4,17502.5,17670.3,17828.1,17512.9,17863.4,18586.2,18488.0,18561.4,18847.3,18979.9,18902.2,18256.1,18462.1,18520.3,18787.0,18455.1,18289.5,18441.0,18732.9,19447.5,19191.1,19490.5,19197.7,19225.6,18767.7,18814.2,19074.8,19168.9,17968.1,19824.4,19792.8,19838.4,20200.2,19869.0,20354.7,20193.6,19854.0,20240.1,20600.6,20460.8
