GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1
 "23000","Maine",1,SQGDP9,1,"...","All industry total ","Millions of chained 2012 dollars",54479.3,54801.7,54956.6,55470.0,55405.9,55684.8,55324.8,55378.1,54892.2,55510.0,55586.9,55450.5,55298.8,55209.3,54718.8,53388.6,52928.4,53385.3,53938.5,54268.2,54050.2,54345.3,54657.7,54166.8,53756.1,53599.3,53472.0,54328.6,54022.0,54308.0,53710.0,52678.9,53464.3,52889.5,53115.3,53487.2,53404.5,53887.3,54229.0,54630.7,53828.5,54413.2,54488.2,54973.2,54977.2,55630.8,55574.2,56079.2,56208.4,56046.9,56584.1,57038.1,57682.7,58108.2,58457.5,58151.1,58882.1,59025.4,59791.4,60514.5,60361.4,56312.8,60724.8,62126.8,62452.2,63374.6,63875.6,64675.9,64601.5,64399.7,64844.4,65216.6,65473.7
 "23000","Maine",1,SQGDP9,2,"..."," Private industries ","Millions of chained 2012 dollars",46510.5,46718.7,46988.6,47437.6,47315.0,47684.8,47204.1,47460.0,46849.5,47521.3,47569.4,47477.0,47225.6,47120.6,46661.5,45340.3,45102.9,45398.8,45980.9,46319.4,46191.3,46388.8,46844.4,46489.0,46094.6,46135.0,46024.6,46936.3,46599.1,46950.5,46366.1,45385.7,46139.2,45616.6,45941.0,46202.8,46080.7,46476.4,46900.4,47248.9,46713.6,47146.5,47172.8,47577.4,47414.2,48023.4,47962.7,48595.6,48675.4,48670.5,49141.0,49674.9,50248.8,50709.0,51089.5,50834.7,51571.0,51687.6,52492.3,53071.5,52958.4,49092.3,53230.8,54770.4,55118.3,55930.5,56387.7,57149.1,56982.8,56814.0,57179.7,57579.2,57788.3
 "23000","Maine",1,SQGDP9,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of chained 2012 dollars",829.1,905.0,1079.7,1363.9,1166.5,1148.1,1076.6,1096.0,896.2,937.2,946.4,884.6,(D),(D),(D),(D),(D),(D),(D),(D),1045.7,1011.8,976.5,945.6,807.9,863.5,893.8,946.6,(D),(D),(D),(D),742.5,809.0,831.1,892.5,909.4,823.6,848.4,784.4,1077.1,994.3,991.2,971.7,1015.8,926.1,965.3,1079.6,921.1,946.3,1009.2,947.6,879.4,923.0,994.7,992.3,1036.0,1008.2,919.7,858.2,833.7,971.1,934.5,908.8,774.9,677.4,764.2,885.7,730.1,608.5,642.8,692.4,802.1
 "23000","Maine",1,SQGDP9,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of chained 2012 dollars",17.4,16.3,14.8,15.8,14.8,14.9,16.4,16.8,14.4,16.4,19.6,22.5,(D),(D),(D),(D),(D),(D),(D),(D),20.4,23.0,21.5,19.1,16.3,17.4,21.8,25.3,(D),(D),(D),(D),34.4,35.6,37.6,41.4,33.1,31.1,29.8,34.1,34.7,42.2,51.4,50.1,54.6,43.8,41.6,40.9,46.5,52.1,56.7,64.3,71.7,66.7,62.7,57.0,47.4,43.5,42.6,49.9,67.1,77.7,84.6,73.2,71.5,67.1,68.9,69.6,64.8,64.4,64.8,64.7,66.0
 "23000","Maine",1,SQGDP9,10,"22","   Utilities ","Millions of chained 2012 dollars",878.6,814.8,805.2,809.2,856.0,920.8,923.5,929.1,895.3,1104.6,959.9,903.8,951.1,1006.3,1013.9,912.5,855.7,832.2,874.0,911.8,973.2,944.8,905.8,946.6,877.6,929.0,948.4,928.1,912.9,1022.9,944.4,901.9,1007.1,898.3,947.0,922.4,953.5,817.5,866.4,921.8,829.9,842.1,903.6,843.1,858.0,942.4,926.9,853.3,880.5,910.1,835.0,949.2,876.4,927.6,855.4,854.4,857.0,847.0,844.1,945.0,892.5,914.3,879.6,871.8,839.7,838.9,868.6,805.1,901.3,918.3,885.2,876.2,863.3
 "23000","Maine",1,SQGDP9,11,"23","   Construction ","Millions of chained 2012 dollars",3055.0,3020.8,2999.8,2945.4,2919.1,2861.3,2745.6,2576.8,2587.2,2603.7,2578.5,2508.8,2366.1,2369.7,2331.3,2218.6,2151.1,2213.7,2337.8,2321.2,2245.2,2275.4,2208.8,2195.3,2102.3,2111.6,2082.5,2115.2,2086.2,2043.3,1953.6,1855.2,1821.1,1797.0,1825.9,1788.9,1740.5,1760.6,1739.1,1765.9,1697.3,1708.2,1705.4,1737.6,1727.1,1698.7,1665.4,1685.7,1696.8,1680.7,1705.3,1752.5,1756.8,1788.1,1714.8,1679.3,1736.2,1727.1,1751.8,1733.3,1713.2,1647.5,1683.2,1809.1,1839.2,1822.8,1787.0,1758.3,1736.3,1638.3,1556.0,1533.0,1520.9
 "23000","Maine",1,SQGDP9,12,"31-33","   Manufacturing ","Millions of chained 2012 dollars",5751.0,5694.7,5607.6,5766.4,5776.9,5980.0,5765.6,5809.0,5851.3,5954.5,6129.4,6375.2,5986.6,6230.1,6108.4,5781.1,5373.9,5638.5,5754.0,5892.3,5889.4,5826.8,5942.1,5578.7,5727.6,5547.5,5422.2,5577.7,5544.3,5703.5,5364.0,5175.3,5329.0,5160.9,5231.8,5299.0,5209.3,5326.0,5312.3,5314.8,5172.5,5009.4,5003.5,5023.7,5097.6,5309.5,5309.4,5496.2,5558.3,5625.9,5637.1,5832.6,5818.9,5810.2,5824.7,5764.4,5892.7,6059.5,6142.4,6157.4,6278.8,5521.7,6272.0,6533.9,6800.8,6580.9,6566.1,6574.3,6768.9,6592.5,6568.8,6644.1,6509.5
 "23000","Maine",1,SQGDP9,13,"321,327-339","     Durable goods manufacturing ","Millions of chained 2012 dollars",2520.9,2476.5,2442.7,2512.9,2499.7,2536.2,2436.0,2401.0,2495.0,2481.4,2502.8,2495.6,2460.5,2565.6,2670.0,2607.5,2425.8,2554.9,2588.8,2653.6,2779.4,2711.8,2923.3,2728.2,2924.1,2784.2,2703.5,2691.7,2569.4,2572.1,2392.8,2463.6,2631.8,2647.7,2711.4,2730.2,2666.1,2689.3,2721.1,2703.7,2600.3,2606.6,2715.8,2713.4,2808.8,2739.3,2687.1,2846.2,2818.4,2816.8,2848.1,2973.4,3069.6,3080.0,3067.7,3153.4,3098.7,3059.7,3068.4,2978.4,3076.8,2577.1,2813.8,2991.3,3225.1,3140.6,3176.2,3216.5,3373.4,3338.0,3329.3,3373.4,3286.6
 "23000","Maine",1,SQGDP9,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of chained 2012 dollars",3236.0,3230.8,3176.1,3264.8,3293.9,3475.2,3362.8,3455.7,3386.5,3517.1,3681.7,3957.7,3574.0,3711.6,3462.1,3187.2,2961.1,3096.6,3180.4,3254.0,3113.3,3121.3,3017.1,2850.2,2801.0,2762.1,2717.6,2885.1,2975.2,3131.8,2969.8,2712.3,2697.6,2511.7,2517.4,2565.8,2541.0,2635.5,2589.6,2609.4,2570.6,2400.0,2285.7,2307.9,2285.8,2568.1,2620.5,2647.7,2737.6,2806.9,2786.6,2856.8,2748.0,2728.7,2755.3,2608.7,2791.6,2998.2,3072.6,3178.3,3201.4,2946.4,3465.1,3547.2,3576.3,3440.7,3389.9,3357.8,3396.2,3257.5,3242.8,3274.3,3225.4
 "23000","Maine",1,SQGDP9,34,"42","   Wholesale trade ","Millions of chained 2012 dollars",3127.5,3086.0,3077.0,3158.0,3170.8,3168.3,3170.7,3172.1,3126.2,3214.7,3196.0,3164.3,3173.4,3140.3,3087.9,2922.6,2815.7,2709.4,2710.8,2856.7,2771.4,2874.2,2993.7,2937.8,2922.9,2783.8,2805.0,2946.0,2904.0,3033.5,2985.9,2907.7,2984.6,2944.7,3006.8,3035.6,2984.1,3059.9,3166.0,3181.6,3118.7,3188.5,3201.2,3313.9,3135.4,3296.5,3241.1,3240.4,3198.5,3168.4,3233.3,3172.0,3251.1,3204.9,3220.8,3216.6,3205.4,3109.2,3166.2,3230.9,3309.4,3093.0,3317.0,3330.2,3495.3,3432.3,3408.3,3463.1,3412.5,3323.4,3327.8,3338.5,3358.5
